onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
447.0	60.0	epochs			
537.0	60.0	epochs	0.04	1.0	180.0
628.0	59.0	epochs	0.04	2.0	45.0
718.0	60.0	epochs	0.04	1.0	135.0
808.0	60.0	epochs	0.04	2.0	270.0
899.0	59.0	epochs	0.04	2.0	45.0
989.0	60.0	epochs	0.04	2.0	315.0
1079.0	60.0	epochs	0.04	2.0	135.0
1170.0	59.0	epochs	0.04	1.0	45.0
1260.0	60.0	epochs			
1350.0	60.0	epochs	0.04	1.0	225.0
1441.0	59.0	epochs	0.04	1.0	45.0
1531.0	60.0	epochs	0.04	2.0	180.0
1621.0	60.0	epochs	0.04	2.0	45.0
1711.0	60.0	epochs	0.04	1.0	225.0
1802.0	59.0	epochs	0.04	2.0	0.0
1892.0	60.0	epochs	0.04	1.0	270.0
1982.0	60.0	epochs	0.04	1.0	135.0
2073.0	59.0	epochs	0.04	1.0	180.0
2163.0	60.0	epochs	0.04	2.0	180.0
2253.0	60.0	epochs	0.04	2.0	45.0
2344.0	59.0	epochs	0.04	1.0	90.0
2434.0	60.0	epochs	0.04	1.0	315.0
2524.0	60.0	epochs	0.04	1.0	315.0
2615.0	59.0	epochs	0.04	1.0	225.0
2705.0	60.0	epochs	0.04	1.0	0.0
2795.0	60.0	epochs			
2886.0	59.0	epochs	0.04	2.0	0.0
2976.0	60.0	epochs	0.04	1.0	225.0
3066.0	60.0	epochs	0.04	1.0	135.0
3156.0	60.0	epochs	0.04	2.0	180.0
3247.0	59.0	epochs	0.04	1.0	90.0
3337.0	60.0	epochs	0.04	2.0	90.0
3427.0	60.0	epochs	0.04	2.0	0.0
3518.0	59.0	epochs	0.04	2.0	270.0
3608.0	60.0	epochs	0.04	2.0	90.0
3698.0	60.0	epochs	0.04	2.0	45.0
3789.0	59.0	epochs	0.04	1.0	90.0
3879.0	60.0	epochs	0.04	2.0	315.0
3969.0	60.0	epochs	0.04	2.0	180.0
4060.0	59.0	epochs	0.04	1.0	315.0
4150.0	60.0	epochs	0.04	1.0	315.0
4240.0	60.0	epochs	0.04	2.0	225.0
4331.0	59.0	epochs	0.04	1.0	45.0
4421.0	60.0	epochs	0.04	1.0	45.0
4511.0	60.0	epochs	0.04	1.0	270.0
4601.0	60.0	epochs	0.04	2.0	225.0
4692.0	59.0	epochs	0.04	1.0	45.0
4782.0	60.0	epochs	0.04	1.0	90.0
4872.0	60.0	epochs	0.04	2.0	225.0
4963.0	59.0	epochs	0.04	2.0	90.0
5053.0	60.0	epochs	0.04	1.0	135.0
5143.0	60.0	epochs	0.04	2.0	45.0
5234.0	59.0	epochs	0.04	2.0	315.0
5324.0	60.0	epochs	0.04	1.0	0.0
5414.0	60.0	epochs	0.04	2.0	225.0
5505.0	59.0	epochs	0.04	1.0	90.0
5595.0	60.0	epochs	0.04	2.0	315.0
5685.0	60.0	epochs	0.04	1.0	45.0
5775.0	60.0	epochs	0.04	2.0	225.0
5866.0	60.0	epochs	0.04	2.0	90.0
5956.0	60.0	epochs	0.04	1.0	135.0
6046.0	60.0	epochs	0.04	2.0	225.0
6137.0	59.0	epochs	0.04	2.0	0.0
6227.0	60.0	epochs	0.04	1.0	315.0
6317.0	60.0	epochs	0.04	1.0	315.0
6408.0	59.0	epochs	0.04	1.0	225.0
6498.0	60.0	epochs	0.04	2.0	270.0
6588.0	60.0	epochs	0.04	1.0	135.0
6679.0	59.0	epochs	0.04	1.0	0.0
6769.0	60.0	epochs	0.04	1.0	315.0
6859.0	60.0	epochs	0.04	2.0	180.0
6950.0	59.0	epochs	0.04	1.0	270.0
7040.0	60.0	epochs	0.04	2.0	0.0
7130.0	60.0	epochs			
7220.0	60.0	epochs	0.04	2.0	0.0
7311.0	59.0	epochs	0.04	1.0	90.0
7401.0	60.0	epochs	0.04	2.0	135.0
7491.0	60.0	epochs	0.04	1.0	135.0
7582.0	59.0	epochs	0.04	1.0	0.0
7672.0	60.0	epochs	0.04	1.0	45.0
7762.0	60.0	epochs			
7853.0	59.0	epochs	0.04	1.0	45.0
7943.0	60.0	epochs	0.04	1.0	135.0
8033.0	60.0	epochs	0.04	2.0	225.0
8124.0	59.0	epochs	0.04	2.0	45.0
8214.0	60.0	epochs	0.04	1.0	180.0
8304.0	60.0	epochs	0.04	2.0	315.0
8395.0	59.0	epochs	0.04	1.0	0.0
8485.0	60.0	epochs	0.04	1.0	270.0
8575.0	60.0	epochs	0.04	2.0	270.0
8665.0	60.0	epochs	0.04	2.0	180.0
8756.0	59.0	epochs	0.04	1.0	315.0
8846.0	60.0	epochs	0.04	1.0	45.0
8936.0	60.0	epochs	0.04	2.0	315.0
9027.0	59.0	epochs	0.04	2.0	0.0
9117.0	60.0	epochs	0.04	1.0	270.0
9207.0	60.0	epochs	0.04	2.0	180.0
9298.0	59.0	epochs	0.04	2.0	90.0
9388.0	60.0	epochs	0.04	2.0	135.0
9478.0	60.0	epochs	0.04	2.0	225.0
9569.0	59.0	epochs	0.04	2.0	270.0
9659.0	60.0	epochs	0.04	2.0	90.0
9749.0	60.0	epochs	0.04	2.0	315.0
9839.0	60.0	epochs			
9930.0	59.0	epochs	0.04	2.0	225.0
10020.0	60.0	epochs	0.04	2.0	180.0
10110.0	60.0	epochs	0.04	1.0	135.0
10201.0	59.0	epochs	0.04	2.0	225.0
10291.0	60.0	epochs	0.04	2.0	0.0
10381.0	60.0	epochs	0.04	2.0	90.0
10472.0	59.0	epochs	0.04	1.0	315.0
10562.0	60.0	epochs	0.04	1.0	135.0
10652.0	60.0	epochs	0.04	2.0	45.0
10743.0	59.0	epochs	0.04	1.0	135.0
10833.0	60.0	epochs	0.04	2.0	180.0
10923.0	60.0	epochs	0.04	1.0	135.0
11014.0	59.0	epochs	0.04	1.0	180.0
11104.0	60.0	epochs	0.04	1.0	315.0
11194.0	60.0	epochs	0.04	2.0	135.0
11284.0	60.0	epochs	0.04	1.0	315.0
11375.0	59.0	epochs	0.04	2.0	45.0
11465.0	60.0	epochs	0.04	1.0	0.0
11555.0	60.0	epochs			
11646.0	59.0	epochs	0.04	2.0	270.0
11736.0	60.0	epochs	0.04	1.0	225.0
11826.0	60.0	epochs	0.04	2.0	135.0
11917.0	59.0	epochs	0.04	2.0	270.0
12007.0	60.0	epochs	0.04	2.0	90.0
12097.0	60.0	epochs	0.04	2.0	270.0
12188.0	59.0	epochs	0.04	2.0	270.0
12278.0	60.0	epochs	0.04	2.0	45.0
12368.0	60.0	epochs	0.04	2.0	225.0
12458.0	60.0	epochs	0.04	2.0	180.0
12549.0	60.0	epochs	0.04	1.0	180.0
12639.0	60.0	epochs	0.04	2.0	90.0
12729.0	60.0	epochs	0.04	2.0	45.0
12820.0	59.0	epochs	0.04	1.0	135.0
12910.0	60.0	epochs	0.04	2.0	45.0
13000.0	60.0	epochs	0.04	2.0	90.0
13091.0	59.0	epochs	0.04	2.0	135.0
13181.0	60.0	epochs	0.04	1.0	45.0
13271.0	60.0	epochs	0.04	1.0	135.0
13362.0	59.0	epochs	0.04	1.0	225.0
13452.0	60.0	epochs	0.04	2.0	180.0
13542.0	60.0	epochs			
13633.0	59.0	epochs	0.04	2.0	90.0
13723.0	60.0	epochs			
13813.0	60.0	epochs	0.04	1.0	270.0
13903.0	60.0	epochs	0.04	2.0	45.0
13994.0	59.0	epochs	0.04	2.0	270.0
14084.0	60.0	epochs	0.04	2.0	225.0
14174.0	60.0	epochs	0.04	1.0	45.0
14265.0	59.0	epochs	0.04	2.0	180.0
14355.0	60.0	epochs	0.04	2.0	90.0
14445.0	60.0	epochs	0.04	2.0	315.0
14536.0	59.0	epochs	0.04	1.0	315.0
14626.0	60.0	epochs	0.04	1.0	45.0
14716.0	60.0	epochs	0.04	1.0	270.0
14807.0	59.0	epochs	0.04	2.0	270.0
14897.0	60.0	epochs	0.04	2.0	225.0
14987.0	60.0	epochs	0.04	2.0	90.0
15077.0	60.0	epochs	0.04	2.0	225.0
15168.0	60.0	epochs	0.04	1.0	135.0
15258.0	60.0	epochs	0.04	2.0	45.0
15348.0	60.0	epochs	0.04	1.0	225.0
15439.0	59.0	epochs	0.04	1.0	225.0
15529.0	60.0	epochs	0.04	2.0	180.0
15619.0	60.0	epochs	0.04	1.0	135.0
15710.0	59.0	epochs	0.04	2.0	0.0
15800.0	60.0	epochs			
15890.0	60.0	epochs	0.04	1.0	45.0
15981.0	59.0	epochs	0.04	2.0	45.0
16071.0	60.0	epochs	0.04	2.0	180.0
16161.0	60.0	epochs	0.04	2.0	315.0
16252.0	59.0	epochs			
16342.0	60.0	epochs	0.04	1.0	270.0
16432.0	60.0	epochs	0.04	2.0	45.0
16522.0	60.0	epochs	0.04	2.0	45.0
16613.0	59.0	epochs	0.04	1.0	270.0
16703.0	60.0	epochs	0.04	1.0	270.0
16793.0	60.0	epochs	0.04	1.0	180.0
16884.0	59.0	epochs	0.04	2.0	180.0
16974.0	60.0	epochs	0.04	2.0	225.0
17064.0	60.0	epochs	0.04	2.0	45.0
17155.0	59.0	epochs	0.04	1.0	225.0
17245.0	60.0	epochs	0.04	1.0	90.0
