onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	135.0
535.0	60.0	epochs	0.04	1.0	45.0
626.0	59.0	epochs	0.04	1.0	180.0
716.0	60.0	epochs			
806.0	60.0	epochs	0.04	2.0	180.0
896.0	60.0	epochs	0.04	1.0	180.0
987.0	59.0	epochs	0.04	2.0	135.0
1077.0	60.0	epochs	0.04	2.0	45.0
1167.0	60.0	epochs	0.04	1.0	90.0
1258.0	59.0	epochs	0.04	2.0	270.0
1348.0	60.0	epochs			
1438.0	60.0	epochs	0.04	2.0	225.0
1529.0	59.0	epochs	0.04	1.0	270.0
1619.0	60.0	epochs	0.04	2.0	135.0
1709.0	60.0	epochs	0.04	2.0	270.0
1799.0	60.0	epochs	0.04	2.0	0.0
1890.0	59.0	epochs	0.04	1.0	315.0
1980.0	60.0	epochs	0.04	2.0	270.0
2070.0	60.0	epochs	0.04	1.0	45.0
2161.0	59.0	epochs	0.04	1.0	225.0
2251.0	60.0	epochs	0.04	2.0	180.0
2341.0	60.0	epochs	0.04	1.0	135.0
2432.0	59.0	epochs	0.04	1.0	180.0
2522.0	60.0	epochs	0.04	2.0	225.0
2612.0	60.0	epochs	0.04	2.0	135.0
2702.0	60.0	epochs	0.04	1.0	225.0
2793.0	59.0	epochs	0.04	1.0	90.0
2883.0	60.0	epochs			
2973.0	60.0	epochs			
3064.0	59.0	epochs	0.04	2.0	180.0
3154.0	60.0	epochs	0.04	1.0	0.0
3244.0	60.0	epochs	0.04	2.0	90.0
3335.0	59.0	epochs	0.04	2.0	0.0
3425.0	60.0	epochs			
3515.0	60.0	epochs	0.04	1.0	0.0
3605.0	60.0	epochs	0.04	1.0	135.0
3696.0	59.0	epochs	0.04	2.0	0.0
3786.0	60.0	epochs	0.04	2.0	315.0
3876.0	60.0	epochs	0.04	1.0	225.0
3967.0	59.0	epochs	0.04	1.0	0.0
4057.0	60.0	epochs	0.04	2.0	0.0
4147.0	60.0	epochs			
4238.0	59.0	epochs	0.04	2.0	45.0
4328.0	60.0	epochs	0.04	1.0	135.0
4418.0	60.0	epochs	0.04	2.0	225.0
4508.0	60.0	epochs	0.04	2.0	90.0
4599.0	59.0	epochs	0.04	2.0	135.0
4689.0	60.0	epochs	0.04	2.0	270.0
4779.0	60.0	epochs	0.04	2.0	315.0
4870.0	59.0	epochs	0.04	1.0	225.0
4960.0	60.0	epochs	0.04	1.0	90.0
5050.0	60.0	epochs	0.04	1.0	270.0
5141.0	59.0	epochs	0.04	1.0	135.0
5231.0	60.0	epochs	0.04	1.0	90.0
5321.0	60.0	epochs	0.04	1.0	135.0
5411.0	60.0	epochs			
5502.0	59.0	epochs	0.04	1.0	0.0
5592.0	60.0	epochs	0.04	2.0	0.0
5682.0	60.0	epochs	0.04	1.0	180.0
5773.0	59.0	epochs	0.04	1.0	0.0
5863.0	60.0	epochs	0.04	1.0	180.0
5953.0	60.0	epochs	0.04	1.0	225.0
6044.0	59.0	epochs	0.04	1.0	45.0
6134.0	60.0	epochs	0.04	1.0	45.0
6224.0	60.0	epochs			
6314.0	60.0	epochs	0.04	1.0	315.0
6405.0	59.0	epochs	0.04	2.0	270.0
6495.0	60.0	epochs	0.04	2.0	90.0
6585.0	60.0	epochs	0.04	1.0	315.0
6676.0	59.0	epochs	0.04	2.0	135.0
6766.0	60.0	epochs	0.04	1.0	225.0
6856.0	60.0	epochs	0.04	2.0	270.0
6947.0	59.0	epochs	0.04	1.0	270.0
7037.0	60.0	epochs	0.04	2.0	180.0
7127.0	60.0	epochs	0.04	1.0	0.0
7218.0	59.0	epochs	0.04	2.0	225.0
7308.0	60.0	epochs	0.04	1.0	315.0
7398.0	60.0	epochs	0.04	2.0	135.0
7488.0	60.0	epochs	0.04	1.0	225.0
7579.0	59.0	epochs	0.04	1.0	0.0
7669.0	60.0	epochs	0.04	2.0	315.0
7759.0	60.0	epochs	0.04	2.0	90.0
7850.0	59.0	epochs	0.04	2.0	270.0
7940.0	60.0	epochs	0.04	2.0	270.0
8030.0	60.0	epochs	0.04	2.0	90.0
8121.0	59.0	epochs	0.04	1.0	90.0
8211.0	60.0	epochs			
8301.0	60.0	epochs	0.04	2.0	315.0
8391.0	60.0	epochs	0.04	2.0	225.0
8482.0	59.0	epochs	0.04	2.0	0.0
8572.0	60.0	epochs			
8662.0	60.0	epochs	0.04	2.0	270.0
8753.0	59.0	epochs	0.04	2.0	135.0
8843.0	60.0	epochs	0.04	2.0	45.0
8933.0	60.0	epochs	0.04	2.0	180.0
9024.0	59.0	epochs	0.04	1.0	315.0
9114.0	60.0	epochs	0.04	2.0	45.0
9204.0	60.0	epochs	0.04	1.0	225.0
9294.0	60.0	epochs	0.04	2.0	45.0
9385.0	59.0	epochs	0.04	1.0	135.0
9475.0	60.0	epochs			
9565.0	60.0	epochs	0.04	1.0	180.0
9656.0	59.0	epochs	0.04	2.0	135.0
9746.0	60.0	epochs	0.04	1.0	90.0
9836.0	60.0	epochs	0.04	1.0	90.0
9927.0	59.0	epochs	0.04	1.0	45.0
10017.0	60.0	epochs	0.04	1.0	270.0
10107.0	60.0	epochs	0.04	2.0	225.0
10197.0	60.0	epochs	0.04	1.0	45.0
10288.0	59.0	epochs	0.04	1.0	225.0
10378.0	60.0	epochs	0.04	1.0	270.0
10468.0	60.0	epochs	0.04	2.0	270.0
10559.0	59.0	epochs	0.04	2.0	315.0
10649.0	60.0	epochs	0.04	2.0	0.0
10739.0	60.0	epochs	0.04	1.0	225.0
10830.0	59.0	epochs	0.04	1.0	0.0
10920.0	60.0	epochs	0.04	2.0	180.0
11010.0	60.0	epochs	0.04	2.0	0.0
11100.0	60.0	epochs	0.04	2.0	0.0
11191.0	59.0	epochs	0.04	2.0	0.0
11281.0	60.0	epochs	0.04	1.0	180.0
11371.0	60.0	epochs	0.04	2.0	315.0
11462.0	59.0	epochs	0.04	1.0	225.0
11552.0	60.0	epochs	0.04	1.0	315.0
11642.0	60.0	epochs			
11733.0	59.0	epochs	0.04	1.0	0.0
11823.0	60.0	epochs	0.04	1.0	45.0
11913.0	60.0	epochs	0.04	2.0	180.0
12003.0	60.0	epochs	0.04	1.0	315.0
12094.0	59.0	epochs	0.04	2.0	225.0
12184.0	60.0	epochs	0.04	1.0	270.0
12274.0	60.0	epochs	0.04	2.0	135.0
12365.0	59.0	epochs	0.04	1.0	135.0
12455.0	60.0	epochs	0.04	1.0	315.0
12545.0	60.0	epochs	0.04	1.0	90.0
12636.0	59.0	epochs			
12726.0	60.0	epochs	0.04	2.0	315.0
12816.0	60.0	epochs	0.04	1.0	0.0
12906.0	60.0	epochs	0.04	2.0	315.0
12997.0	59.0	epochs	0.04	1.0	315.0
13087.0	60.0	epochs	0.04	1.0	180.0
13177.0	60.0	epochs	0.04	1.0	315.0
13268.0	59.0	epochs	0.04	2.0	45.0
13358.0	60.0	epochs	0.04	1.0	0.0
13448.0	60.0	epochs	0.04	2.0	135.0
13539.0	59.0	epochs	0.04	2.0	315.0
13629.0	60.0	epochs	0.04	2.0	0.0
13719.0	60.0	epochs	0.04	2.0	0.0
13809.0	60.0	epochs	0.04	2.0	45.0
13900.0	59.0	epochs	0.04	1.0	90.0
13990.0	60.0	epochs	0.04	2.0	45.0
14080.0	60.0	epochs	0.04	2.0	315.0
14171.0	59.0	epochs	0.04	2.0	225.0
14261.0	60.0	epochs	0.04	1.0	180.0
14351.0	60.0	epochs	0.04	2.0	180.0
14442.0	59.0	epochs	0.04	2.0	90.0
14532.0	60.0	epochs	0.04	1.0	180.0
14622.0	60.0	epochs	0.04	2.0	135.0
14712.0	60.0	epochs	0.04	2.0	225.0
14803.0	59.0	epochs	0.04	1.0	0.0
14893.0	60.0	epochs	0.04	2.0	225.0
14983.0	60.0	epochs	0.04	1.0	90.0
15074.0	59.0	epochs	0.04	1.0	0.0
15164.0	60.0	epochs	0.04	2.0	45.0
15254.0	60.0	epochs	0.04	1.0	0.0
15345.0	59.0	epochs	0.04	2.0	45.0
15435.0	60.0	epochs	0.04	1.0	180.0
15525.0	60.0	epochs	0.04	2.0	90.0
15615.0	60.0	epochs	0.04	2.0	0.0
15706.0	59.0	epochs	0.04	2.0	315.0
15796.0	60.0	epochs			
15886.0	60.0	epochs	0.04	1.0	270.0
15977.0	59.0	epochs	0.04	2.0	315.0
16067.0	60.0	epochs	0.04	2.0	0.0
16157.0	60.0	epochs	0.04	2.0	180.0
