onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
446.0	59.0	epochs	0.04	2.0	270.0
536.0	60.0	epochs	0.04	1.0	270.0
626.0	60.0	epochs	0.04	2.0	135.0
717.0	59.0	epochs	0.04	1.0	180.0
807.0	60.0	epochs	0.04	1.0	225.0
897.0	60.0	epochs	0.04	2.0	270.0
987.0	60.0	epochs	0.04	1.0	225.0
1078.0	60.0	epochs	0.04	2.0	0.0
1168.0	60.0	epochs	0.04	1.0	135.0
1258.0	60.0	epochs	0.04	2.0	90.0
1349.0	59.0	epochs	0.04	1.0	0.0
1439.0	60.0	epochs	0.04	2.0	45.0
1529.0	60.0	epochs	0.04	2.0	180.0
1620.0	59.0	epochs	0.04	2.0	225.0
1710.0	60.0	epochs	0.04	1.0	135.0
1800.0	60.0	epochs	0.04	1.0	135.0
1891.0	59.0	epochs	0.04	1.0	135.0
1981.0	60.0	epochs	0.04	2.0	225.0
2071.0	60.0	epochs	0.04	2.0	135.0
2162.0	59.0	epochs	0.04	1.0	90.0
2252.0	60.0	epochs	0.04	1.0	270.0
2342.0	60.0	epochs	0.04	2.0	90.0
2433.0	59.0	epochs	0.04	1.0	0.0
2523.0	60.0	epochs	0.04	1.0	180.0
2613.0	60.0	epochs	0.04	2.0	90.0
2703.0	60.0	epochs	0.04	2.0	270.0
2794.0	60.0	epochs	0.04	2.0	270.0
2884.0	60.0	epochs	0.04	2.0	90.0
2974.0	60.0	epochs	0.04	1.0	270.0
3065.0	59.0	epochs	0.04	1.0	0.0
3155.0	60.0	epochs	0.04	2.0	270.0
3245.0	60.0	epochs	0.04	2.0	225.0
3336.0	59.0	epochs	0.04	1.0	0.0
3426.0	60.0	epochs	0.04	2.0	90.0
3516.0	60.0	epochs	0.04	2.0	45.0
3607.0	59.0	epochs	0.04	2.0	315.0
3697.0	60.0	epochs	0.04	1.0	225.0
3787.0	60.0	epochs	0.04	1.0	0.0
3878.0	59.0	epochs	0.04	1.0	90.0
3968.0	60.0	epochs	0.04	2.0	180.0
4058.0	60.0	epochs	0.04	1.0	270.0
4149.0	59.0	epochs	0.04	2.0	225.0
4239.0	60.0	epochs	0.04	1.0	90.0
4329.0	60.0	epochs	0.04	2.0	135.0
4419.0	60.0	epochs	0.04	2.0	135.0
4510.0	60.0	epochs	0.04	2.0	90.0
4600.0	60.0	epochs			
4690.0	60.0	epochs	0.04	1.0	225.0
4781.0	59.0	epochs	0.04	2.0	225.0
4871.0	60.0	epochs	0.04	2.0	0.0
4961.0	60.0	epochs	0.04	1.0	45.0
5052.0	59.0	epochs	0.04	1.0	45.0
5142.0	60.0	epochs	0.04	2.0	0.0
5232.0	60.0	epochs	0.04	2.0	270.0
5323.0	59.0	epochs	0.04	2.0	225.0
5413.0	60.0	epochs	0.04	1.0	225.0
5503.0	60.0	epochs	0.04	2.0	315.0
5594.0	59.0	epochs	0.04	1.0	0.0
5684.0	60.0	epochs	0.04	2.0	90.0
5774.0	60.0	epochs	0.04	1.0	180.0
5865.0	59.0	epochs	0.04	2.0	45.0
5955.0	60.0	epochs			
6045.0	60.0	epochs	0.04	1.0	225.0
6135.0	60.0	epochs	0.04	2.0	90.0
6226.0	60.0	epochs	0.04	2.0	315.0
6316.0	60.0	epochs	0.04	2.0	225.0
6406.0	60.0	epochs	0.04	2.0	180.0
