onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	135.0
536.0	59.0	epochs	0.04	2.0	0.0
626.0	60.0	epochs	0.04	1.0	225.0
716.0	60.0	epochs	0.04	2.0	270.0
807.0	59.0	epochs	0.04	1.0	90.0
897.0	60.0	epochs	0.04	1.0	180.0
987.0	60.0	epochs	0.04	1.0	0.0
1078.0	59.0	epochs	0.04	2.0	315.0
1168.0	60.0	epochs	0.04	1.0	180.0
1258.0	60.0	epochs	0.04	2.0	90.0
1349.0	59.0	epochs	0.04	1.0	270.0
1439.0	60.0	epochs	0.04	2.0	315.0
1529.0	60.0	epochs	0.04	1.0	45.0
1619.0	60.0	epochs	0.04	1.0	90.0
1710.0	59.0	epochs	0.04	1.0	135.0
1800.0	60.0	epochs	0.04	2.0	135.0
1890.0	60.0	epochs	0.04	1.0	180.0
1981.0	59.0	epochs	0.04	2.0	225.0
2071.0	60.0	epochs	0.04	2.0	90.0
2161.0	60.0	epochs	0.04	2.0	315.0
2252.0	59.0	epochs	0.04	2.0	0.0
2342.0	60.0	epochs	0.04	1.0	225.0
2432.0	60.0	epochs	0.04	1.0	135.0
2523.0	59.0	epochs	0.04	2.0	135.0
2613.0	60.0	epochs	0.04	2.0	315.0
2703.0	60.0	epochs	0.04	1.0	180.0
2793.0	60.0	epochs	0.04	2.0	135.0
2884.0	59.0	epochs	0.04	2.0	90.0
2974.0	60.0	epochs	0.04	2.0	0.0
3064.0	60.0	epochs	0.04	1.0	45.0
3155.0	59.0	epochs			
3245.0	60.0	epochs	0.04	2.0	45.0
3335.0	60.0	epochs	0.04	2.0	315.0
3426.0	59.0	epochs			
3516.0	60.0	epochs	0.04	1.0	315.0
3606.0	60.0	epochs	0.04	1.0	45.0
3697.0	59.0	epochs	0.04	2.0	180.0
3787.0	60.0	epochs	0.04	2.0	135.0
3877.0	60.0	epochs	0.04	1.0	315.0
3967.0	60.0	epochs	0.04	1.0	45.0
4058.0	60.0	epochs	0.04	2.0	90.0
4148.0	60.0	epochs	0.04	2.0	225.0
4238.0	60.0	epochs	0.04	2.0	45.0
4329.0	59.0	epochs	0.04	2.0	90.0
4419.0	60.0	epochs	0.04	2.0	135.0
4509.0	60.0	epochs	0.04	1.0	45.0
4600.0	59.0	epochs	0.04	2.0	45.0
4690.0	60.0	epochs	0.04	2.0	90.0
4780.0	60.0	epochs			
4871.0	59.0	epochs	0.04	2.0	315.0
4961.0	60.0	epochs	0.04	1.0	135.0
5051.0	60.0	epochs	0.04	2.0	45.0
5142.0	59.0	epochs	0.04	2.0	270.0
5232.0	60.0	epochs	0.04	2.0	135.0
5322.0	60.0	epochs	0.04	1.0	270.0
5412.0	60.0	epochs	0.04	2.0	225.0
5503.0	59.0	epochs	0.04	2.0	315.0
5593.0	60.0	epochs	0.04	2.0	315.0
5683.0	60.0	epochs	0.04	2.0	90.0
5774.0	59.0	epochs	0.04	1.0	45.0
5864.0	60.0	epochs	0.04	2.0	90.0
5954.0	60.0	epochs	0.04	2.0	90.0
6045.0	59.0	epochs	0.04	2.0	270.0
6135.0	60.0	epochs	0.04	1.0	45.0
6225.0	60.0	epochs	0.04	2.0	270.0
6316.0	59.0	epochs	0.04	1.0	90.0
6406.0	60.0	epochs	0.04	1.0	225.0
6496.0	60.0	epochs	0.04	2.0	90.0
6586.0	60.0	epochs	0.04	2.0	180.0
6677.0	59.0	epochs	0.04	1.0	225.0
6767.0	60.0	epochs	0.04	1.0	225.0
6857.0	60.0	epochs	0.04	2.0	90.0
6948.0	59.0	epochs	0.04	2.0	0.0
7038.0	60.0	epochs	0.04	1.0	225.0
7128.0	60.0	epochs	0.04	2.0	225.0
7219.0	59.0	epochs	0.04	1.0	135.0
7309.0	60.0	epochs	0.04	2.0	45.0
7399.0	60.0	epochs	0.04	1.0	180.0
7490.0	59.0	epochs	0.04	1.0	225.0
7580.0	60.0	epochs	0.04	1.0	135.0
7670.0	60.0	epochs	0.04	1.0	135.0
7760.0	60.0	epochs	0.04	2.0	45.0
7851.0	59.0	epochs	0.04	2.0	135.0
7941.0	60.0	epochs	0.04	1.0	225.0
8031.0	60.0	epochs	0.04	1.0	315.0
8122.0	59.0	epochs	0.04	1.0	225.0
8212.0	60.0	epochs	0.04	2.0	45.0
8302.0	60.0	epochs	0.04	1.0	270.0
8393.0	59.0	epochs	0.04	1.0	90.0
8483.0	60.0	epochs	0.04	2.0	135.0
8573.0	60.0	epochs	0.04	2.0	270.0
8664.0	59.0	epochs	0.04	2.0	270.0
8754.0	60.0	epochs	0.04	1.0	315.0
8844.0	60.0	epochs	0.04	1.0	180.0
8934.0	60.0	epochs	0.04	2.0	45.0
9025.0	59.0	epochs	0.04	1.0	45.0
9115.0	60.0	epochs	0.04	1.0	315.0
9205.0	60.0	epochs	0.04	2.0	270.0
9296.0	59.0	epochs	0.04	1.0	225.0
9386.0	60.0	epochs	0.04	1.0	135.0
9476.0	60.0	epochs	0.04	1.0	0.0
9567.0	59.0	epochs	0.04	2.0	45.0
9657.0	60.0	epochs	0.04	1.0	225.0
9747.0	60.0	epochs			
9838.0	59.0	epochs	0.04	1.0	315.0
9928.0	60.0	epochs			
10018.0	60.0	epochs	0.04	2.0	135.0
10108.0	60.0	epochs	0.04	2.0	90.0
10199.0	59.0	epochs	0.04	2.0	180.0
10289.0	60.0	epochs	0.04	2.0	315.0
10379.0	60.0	epochs	0.04	1.0	180.0
10470.0	59.0	epochs	0.04	1.0	90.0
10560.0	60.0	epochs	0.04	2.0	135.0
10650.0	60.0	epochs	0.04	1.0	0.0
10741.0	59.0	epochs	0.04	1.0	225.0
10831.0	60.0	epochs	0.04	2.0	270.0
10921.0	60.0	epochs	0.04	1.0	0.0
11012.0	59.0	epochs	0.04	2.0	0.0
11102.0	60.0	epochs	0.04	2.0	0.0
11192.0	60.0	epochs	0.04	2.0	90.0
11282.0	60.0	epochs	0.04	1.0	90.0
11373.0	60.0	epochs	0.04	1.0	90.0
11463.0	60.0	epochs	0.04	1.0	180.0
11553.0	60.0	epochs	0.04	2.0	0.0
11644.0	59.0	epochs	0.04	2.0	225.0
