onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	0.0
536.0	59.0	epochs	0.04	2.0	0.0
626.0	60.0	epochs	0.04	1.0	135.0
716.0	60.0	epochs	0.04	2.0	225.0
807.0	59.0	epochs	0.04	1.0	315.0
897.0	60.0	epochs	0.04	2.0	180.0
987.0	60.0	epochs	0.04	1.0	225.0
1078.0	59.0	epochs	0.04	2.0	90.0
1168.0	60.0	epochs	0.04	1.0	135.0
1258.0	60.0	epochs	0.04	2.0	45.0
1348.0	60.0	epochs	0.04	1.0	315.0
1439.0	60.0	epochs	0.04	1.0	315.0
1529.0	60.0	epochs	0.04	2.0	180.0
1619.0	60.0	epochs	0.04	2.0	0.0
1710.0	60.0	epochs	0.04	1.0	45.0
1800.0	60.0	epochs	0.04	2.0	270.0
1890.0	60.0	epochs	0.04	1.0	0.0
1981.0	59.0	epochs	0.04	2.0	0.0
2071.0	60.0	epochs	0.04	1.0	270.0
2161.0	60.0	epochs	0.04	1.0	135.0
2252.0	59.0	epochs	0.04	1.0	90.0
2342.0	60.0	epochs	0.04	1.0	90.0
2432.0	60.0	epochs	0.04	2.0	270.0
2523.0	59.0	epochs	0.04	1.0	270.0
2613.0	60.0	epochs	0.04	2.0	45.0
2703.0	60.0	epochs	0.04	2.0	270.0
2794.0	59.0	epochs	0.04	1.0	0.0
2884.0	60.0	epochs	0.04	1.0	135.0
2974.0	60.0	epochs	0.04	2.0	270.0
3065.0	59.0	epochs	0.04	2.0	270.0
3155.0	60.0	epochs			
3245.0	60.0	epochs	0.04	1.0	270.0
3336.0	59.0	epochs	0.04	2.0	0.0
3426.0	60.0	epochs	0.04	2.0	135.0
3516.0	60.0	epochs	0.04	1.0	270.0
3607.0	59.0	epochs	0.04	1.0	315.0
3697.0	60.0	epochs	0.04	2.0	0.0
3787.0	60.0	epochs	0.04	2.0	135.0
3878.0	59.0	epochs	0.04	1.0	90.0
3968.0	60.0	epochs	0.04	2.0	45.0
4058.0	60.0	epochs	0.04	2.0	90.0
4149.0	59.0	epochs	0.04	1.0	270.0
4239.0	60.0	epochs	0.04	1.0	225.0
4329.0	60.0	epochs	0.04	2.0	315.0
4420.0	59.0	epochs	0.04	2.0	90.0
4510.0	60.0	epochs	0.04	2.0	270.0
4600.0	60.0	epochs	0.04	1.0	135.0
4691.0	59.0	epochs	0.04	1.0	225.0
4781.0	60.0	epochs	0.04	2.0	90.0
4871.0	60.0	epochs	0.04	1.0	180.0
4962.0	59.0	epochs	0.04	1.0	225.0
5052.0	60.0	epochs	0.04	2.0	315.0
5142.0	60.0	epochs	0.04	2.0	45.0
5232.0	60.0	epochs	0.04	2.0	90.0
5323.0	60.0	epochs	0.04	1.0	0.0
5413.0	60.0	epochs	0.04	1.0	135.0
5503.0	60.0	epochs	0.04	1.0	180.0
5594.0	59.0	epochs	0.04	1.0	270.0
5684.0	60.0	epochs	0.04	1.0	315.0
5774.0	60.0	epochs	0.04	2.0	270.0
5865.0	59.0	epochs	0.04	1.0	270.0
5955.0	60.0	epochs	0.04	2.0	90.0
6045.0	60.0	epochs	0.04	2.0	315.0
6136.0	59.0	epochs	0.04	2.0	270.0
6226.0	60.0	epochs	0.04	2.0	225.0
6316.0	60.0	epochs	0.04	1.0	270.0
6407.0	59.0	epochs	0.04	2.0	225.0
6497.0	60.0	epochs	0.04	2.0	270.0
6587.0	60.0	epochs	0.04	1.0	135.0
6678.0	59.0	epochs	0.04	2.0	315.0
6768.0	60.0	epochs	0.04	1.0	45.0
6858.0	60.0	epochs	0.04	2.0	45.0
6949.0	59.0	epochs	0.04	2.0	180.0
7039.0	60.0	epochs	0.04	1.0	315.0
7129.0	60.0	epochs	0.04	2.0	135.0
7220.0	59.0	epochs	0.04	1.0	135.0
7310.0	60.0	epochs	0.04	1.0	225.0
7400.0	60.0	epochs	0.04	1.0	225.0
7491.0	59.0	epochs	0.04	2.0	90.0
7581.0	60.0	epochs	0.04	1.0	90.0
7671.0	60.0	epochs	0.04	2.0	0.0
7762.0	59.0	epochs	0.04	2.0	45.0
7852.0	60.0	epochs	0.04	1.0	135.0
7942.0	60.0	epochs	0.04	1.0	45.0
8033.0	59.0	epochs	0.04	1.0	135.0
8123.0	60.0	epochs	0.04	2.0	225.0
8213.0	60.0	epochs	0.04	1.0	315.0
8304.0	59.0	epochs	0.04	1.0	225.0
8394.0	60.0	epochs	0.04	2.0	135.0
8484.0	60.0	epochs	0.04	1.0	180.0
8574.0	60.0	epochs	0.04	2.0	90.0
8665.0	60.0	epochs	0.04	2.0	0.0
8755.0	60.0	epochs	0.04	2.0	45.0
8845.0	60.0	epochs			
8936.0	59.0	epochs			
9026.0	60.0	epochs	0.04	1.0	90.0
9116.0	60.0	epochs	0.04	2.0	270.0
9207.0	59.0	epochs	0.04	2.0	225.0
9297.0	60.0	epochs	0.04	2.0	270.0
9387.0	60.0	epochs	0.04	2.0	315.0
9478.0	59.0	epochs	0.04	2.0	270.0
9568.0	60.0	epochs	0.04	2.0	90.0
9658.0	60.0	epochs	0.04	2.0	315.0
9749.0	59.0	epochs	0.04	1.0	315.0
9839.0	60.0	epochs	0.04	2.0	180.0
9929.0	60.0	epochs			
10020.0	59.0	epochs	0.04	2.0	225.0
10110.0	60.0	epochs	0.04	1.0	315.0
10200.0	60.0	epochs	0.04	1.0	270.0
10291.0	59.0	epochs	0.04	1.0	225.0
10381.0	60.0	epochs	0.04	2.0	180.0
10471.0	60.0	epochs	0.04	1.0	270.0
10562.0	59.0	epochs	0.04	1.0	180.0
10652.0	60.0	epochs	0.04	1.0	270.0
10742.0	60.0	epochs	0.04	1.0	45.0
10833.0	59.0	epochs	0.04	1.0	315.0
10923.0	60.0	epochs	0.04	2.0	45.0
11013.0	60.0	epochs	0.04	1.0	180.0
11104.0	59.0	epochs	0.04	2.0	315.0
11194.0	60.0	epochs	0.04	2.0	225.0
11284.0	60.0	epochs			
11375.0	59.0	epochs	0.04	2.0	45.0
11465.0	60.0	epochs	0.04	1.0	315.0
11555.0	60.0	epochs	0.04	1.0	0.0
11645.0	60.0	epochs	0.04	1.0	270.0
11736.0	60.0	epochs	0.04	1.0	315.0
11826.0	60.0	epochs	0.04	1.0	45.0
11916.0	60.0	epochs	0.04	2.0	225.0
12007.0	60.0	epochs	0.04	1.0	225.0
12097.0	60.0	epochs	0.04	1.0	270.0
12187.0	60.0	epochs	0.04	2.0	45.0
12278.0	59.0	epochs	0.04	1.0	270.0
12368.0	60.0	epochs	0.04	2.0	270.0
12458.0	60.0	epochs			
12549.0	59.0	epochs	0.04	2.0	270.0
12639.0	60.0	epochs	0.04	1.0	180.0
12729.0	60.0	epochs			
12820.0	59.0	epochs	0.04	2.0	135.0
12910.0	60.0	epochs	0.04	2.0	90.0
13000.0	60.0	epochs	0.04	2.0	315.0
13091.0	59.0	epochs	0.04	1.0	180.0
13181.0	60.0	epochs	0.04	2.0	180.0
13271.0	60.0	epochs	0.04	1.0	315.0
13362.0	59.0	epochs	0.04	1.0	225.0
13452.0	60.0	epochs	0.04	1.0	45.0
13542.0	60.0	epochs	0.04	1.0	225.0
13633.0	59.0	epochs	0.04	2.0	225.0
13723.0	60.0	epochs	0.04	1.0	180.0
13813.0	60.0	epochs	0.04	1.0	135.0
13904.0	59.0	epochs	0.04	1.0	0.0
13994.0	60.0	epochs	0.04	1.0	0.0
14084.0	60.0	epochs	0.04	2.0	135.0
14175.0	59.0	epochs	0.04	2.0	0.0
14265.0	60.0	epochs	0.04	1.0	315.0
14355.0	60.0	epochs	0.04	1.0	0.0
14446.0	59.0	epochs	0.04	2.0	180.0
14536.0	60.0	epochs	0.04	2.0	0.0
14626.0	60.0	epochs	0.04	2.0	315.0
14716.0	60.0	epochs	0.04	2.0	0.0
14807.0	60.0	epochs	0.04	2.0	315.0
14897.0	60.0	epochs	0.04	2.0	135.0
14987.0	60.0	epochs	0.04	1.0	90.0
15078.0	59.0	epochs	0.04	1.0	315.0
15168.0	60.0	epochs	0.04	2.0	180.0
15258.0	60.0	epochs	0.04	2.0	225.0
15349.0	59.0	epochs	0.04	2.0	0.0
15439.0	60.0	epochs	0.04	1.0	180.0
15529.0	60.0	epochs	0.04	1.0	315.0
15620.0	59.0	epochs	0.04	1.0	90.0
15710.0	60.0	epochs	0.04	1.0	135.0
15800.0	60.0	epochs	0.04	2.0	270.0
15891.0	59.0	epochs	0.04	1.0	270.0
15981.0	60.0	epochs	0.04	1.0	180.0
16071.0	60.0	epochs			
16162.0	59.0	epochs	0.04	1.0	225.0
