onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
436.0	60.0	epochs	0.04	1.0	0.0
527.0	60.0	epochs	0.04	1.0	45.0
617.0	60.0	epochs	0.04	2.0	180.0
708.0	60.0	epochs	0.04	1.0	315.0
798.0	60.0	epochs	0.04	2.0	135.0
889.0	60.0	epochs	0.04	1.0	45.0
979.0	60.0	epochs	0.04	2.0	0.0
1070.0	60.0	epochs	0.04	2.0	135.0
1160.0	60.0	epochs	0.04	2.0	135.0
1251.0	60.0	epochs	0.04	2.0	135.0
1341.0	60.0	epochs	0.04	1.0	180.0
1432.0	60.0	epochs	0.04	1.0	315.0
1522.0	60.0	epochs	0.04	1.0	315.0
1613.0	60.0	epochs	0.04	1.0	225.0
1703.0	60.0	epochs	0.04	1.0	180.0
1794.0	60.0	epochs	0.04	1.0	135.0
1884.0	60.0	epochs	0.04	1.0	135.0
1975.0	60.0	epochs	0.04	2.0	270.0
2065.0	60.0	epochs	0.04	1.0	45.0
2156.0	60.0	epochs	0.04	1.0	45.0
2246.0	60.0	epochs	0.04	2.0	135.0
2337.0	60.0	epochs			
2428.0	59.0	epochs	0.04	1.0	0.0
2518.0	60.0	epochs	0.04	2.0	180.0
2609.0	59.0	epochs	0.04	1.0	90.0
2699.0	60.0	epochs	0.04	1.0	315.0
2790.0	59.0	epochs	0.04	1.0	225.0
2880.0	60.0	epochs	0.04	1.0	225.0
2971.0	59.0	epochs			
3061.0	60.0	epochs			
3152.0	59.0	epochs	0.04	2.0	135.0
3242.0	60.0	epochs	0.04	2.0	135.0
3333.0	59.0	epochs	0.04	1.0	135.0
3423.0	60.0	epochs	0.04	2.0	315.0
3514.0	60.0	epochs			
3604.0	60.0	epochs	0.04	2.0	0.0
3695.0	60.0	epochs	0.04	2.0	270.0
3785.0	60.0	epochs	0.04	2.0	180.0
3876.0	60.0	epochs	0.04	1.0	270.0
3966.0	60.0	epochs	0.04	1.0	135.0
4057.0	60.0	epochs	0.04	1.0	135.0
4147.0	60.0	epochs	0.04	2.0	180.0
4238.0	60.0	epochs	0.04	2.0	180.0
4328.0	60.0	epochs	0.04	2.0	90.0
4419.0	60.0	epochs	0.04	1.0	90.0
4509.0	60.0	epochs	0.04	1.0	270.0
4600.0	60.0	epochs	0.04	1.0	315.0
4690.0	60.0	epochs	0.04	1.0	90.0
4781.0	60.0	epochs	0.04	1.0	0.0
4871.0	60.0	epochs	0.04	1.0	0.0
4962.0	60.0	epochs	0.04	2.0	270.0
5052.0	60.0	epochs	0.04	1.0	270.0
5143.0	60.0	epochs	0.04	1.0	0.0
5233.0	60.0	epochs	0.04	1.0	45.0
5324.0	60.0	epochs	0.04	2.0	135.0
5414.0	60.0	epochs	0.04	1.0	90.0
5505.0	60.0	epochs	0.04	1.0	180.0
5595.0	60.0	epochs	0.04	1.0	90.0
5686.0	60.0	epochs	0.04	1.0	135.0
5776.0	60.0	epochs	0.04	2.0	180.0
5867.0	60.0	epochs	0.04	2.0	270.0
5958.0	59.0	epochs	0.04	1.0	0.0
6048.0	60.0	epochs	0.04	1.0	0.0
6139.0	59.0	epochs	0.04	2.0	180.0
6229.0	60.0	epochs	0.04	2.0	225.0
6320.0	59.0	epochs	0.04	2.0	225.0
6410.0	60.0	epochs	0.04	2.0	270.0
6501.0	59.0	epochs	0.04	2.0	225.0
6591.0	60.0	epochs	0.04	2.0	135.0
6682.0	59.0	epochs	0.04	2.0	225.0
6772.0	60.0	epochs	0.04	2.0	270.0
6863.0	59.0	epochs	0.04	2.0	270.0
6953.0	60.0	epochs	0.04	1.0	180.0
7044.0	59.0	epochs	0.04	2.0	270.0
7134.0	60.0	epochs	0.04	2.0	315.0
7225.0	60.0	epochs	0.04	1.0	225.0
7315.0	60.0	epochs	0.04	1.0	45.0
7406.0	60.0	epochs	0.04	2.0	0.0
7496.0	60.0	epochs	0.04	2.0	225.0
7587.0	60.0	epochs	0.04	2.0	270.0
7677.0	60.0	epochs	0.04	2.0	45.0
7768.0	60.0	epochs	0.04	2.0	315.0
7858.0	60.0	epochs	0.04	1.0	90.0
7949.0	60.0	epochs	0.04	2.0	225.0
8039.0	60.0	epochs	0.04	2.0	315.0
8130.0	60.0	epochs	0.04	2.0	225.0
8220.0	60.0	epochs	0.04	2.0	225.0
8311.0	60.0	epochs	0.04	2.0	225.0
8401.0	60.0	epochs	0.04	1.0	225.0
8492.0	60.0	epochs	0.04	1.0	270.0
8582.0	60.0	epochs	0.04	1.0	90.0
8673.0	60.0	epochs	0.04	1.0	270.0
8763.0	60.0	epochs	0.04	1.0	0.0
8854.0	60.0	epochs			
8944.0	60.0	epochs	0.04	1.0	45.0
9035.0	60.0	epochs	0.04	1.0	315.0
9125.0	60.0	epochs	0.04	2.0	180.0
9216.0	60.0	epochs	0.04	1.0	270.0
9306.0	60.0	epochs	0.04	2.0	270.0
9397.0	60.0	epochs	0.04	2.0	315.0
9487.0	60.0	epochs	0.04	2.0	225.0
9578.0	60.0	epochs	0.04	2.0	45.0
9668.0	60.0	epochs	0.04	1.0	180.0
9759.0	60.0	epochs	0.04	1.0	225.0
9850.0	59.0	epochs	0.04	2.0	135.0
9940.0	60.0	epochs	0.04	2.0	315.0
10031.0	59.0	epochs	0.04	1.0	180.0
10121.0	60.0	epochs	0.04	1.0	315.0
10212.0	59.0	epochs	0.04	2.0	135.0
10302.0	60.0	epochs	0.04	1.0	180.0
10393.0	59.0	epochs	0.04	2.0	225.0
10483.0	60.0	epochs	0.04	1.0	90.0
10574.0	59.0	epochs	0.04	1.0	90.0
10664.0	60.0	epochs	0.04	2.0	180.0
10755.0	59.0	epochs	0.04	2.0	315.0
10845.0	60.0	epochs	0.04	1.0	315.0
10936.0	59.0	epochs	0.04	2.0	315.0
11026.0	60.0	epochs	0.04	1.0	45.0
11117.0	59.0	epochs	0.04	1.0	90.0
11207.0	60.0	epochs	0.04	1.0	135.0
11298.0	60.0	epochs	0.04	2.0	315.0
11388.0	60.0	epochs	0.04	1.0	45.0
11479.0	60.0	epochs	0.04	1.0	45.0
11569.0	60.0	epochs	0.04	1.0	225.0
11660.0	60.0	epochs	0.04	1.0	90.0
11750.0	60.0	epochs	0.04	2.0	180.0
11841.0	60.0	epochs	0.04	2.0	0.0
11931.0	60.0	epochs	0.04	2.0	90.0
12022.0	60.0	epochs	0.04	2.0	270.0
12112.0	60.0	epochs	0.04	2.0	0.0
12203.0	60.0	epochs	0.04	2.0	90.0
12293.0	60.0	epochs	0.04	2.0	135.0
12384.0	60.0	epochs	0.04	1.0	0.0
12474.0	60.0	epochs			
12565.0	60.0	epochs	0.04	1.0	225.0
12655.0	60.0	epochs	0.04	2.0	135.0
12746.0	60.0	epochs			
12836.0	60.0	epochs	0.04	2.0	315.0
12927.0	60.0	epochs	0.04	1.0	180.0
13017.0	60.0	epochs	0.04	2.0	135.0
13108.0	60.0	epochs	0.04	2.0	315.0
13198.0	60.0	epochs	0.04	2.0	90.0
13289.0	60.0	epochs	0.04	1.0	225.0
13379.0	60.0	epochs			
13470.0	60.0	epochs	0.04	1.0	225.0
13560.0	60.0	epochs	0.04	1.0	180.0
13651.0	60.0	epochs	0.04	1.0	45.0
13741.0	60.0	epochs	0.04	1.0	45.0
13832.0	60.0	epochs	0.04	1.0	225.0
13923.0	59.0	epochs	0.04	1.0	0.0
14013.0	60.0	epochs	0.04	2.0	315.0
14104.0	59.0	epochs	0.04	2.0	0.0
14194.0	60.0	epochs	0.04	2.0	180.0
14285.0	59.0	epochs	0.04	2.0	45.0
14375.0	60.0	epochs	0.04	1.0	45.0
14466.0	59.0	epochs	0.04	2.0	0.0
14556.0	60.0	epochs	0.04	1.0	90.0
14647.0	59.0	epochs	0.04	2.0	180.0
14737.0	60.0	epochs	0.04	2.0	0.0
14828.0	59.0	epochs	0.04	1.0	180.0
14918.0	60.0	epochs	0.04	1.0	315.0
15009.0	59.0	epochs	0.04	2.0	315.0
15099.0	60.0	epochs	0.04	1.0	45.0
15190.0	60.0	epochs	0.04	2.0	45.0
15280.0	60.0	epochs	0.04	2.0	180.0
15371.0	60.0	epochs	0.04	1.0	225.0
15461.0	60.0	epochs	0.04	2.0	90.0
15552.0	60.0	epochs	0.04	2.0	90.0
15642.0	60.0	epochs	0.04	2.0	0.0
15733.0	60.0	epochs	0.04	2.0	45.0
15823.0	60.0	epochs	0.04	1.0	45.0
15914.0	60.0	epochs	0.04	2.0	225.0
16004.0	60.0	epochs	0.04	1.0	45.0
16095.0	60.0	epochs	0.04	2.0	90.0
16185.0	60.0	epochs	0.04	2.0	0.0
16276.0	60.0	epochs	0.04	2.0	0.0
16366.0	60.0	epochs	0.04	1.0	45.0
16457.0	60.0	epochs	0.04	2.0	0.0
16547.0	60.0	epochs	0.04	2.0	225.0
16638.0	60.0	epochs	0.04	1.0	0.0
16728.0	60.0	epochs	0.04	1.0	180.0
16819.0	60.0	epochs	0.04	1.0	90.0
16909.0	60.0	epochs	0.04	1.0	270.0
17000.0	60.0	epochs	0.04	2.0	315.0
17090.0	60.0	epochs	0.04	1.0	315.0
17181.0	60.0	epochs	0.04	1.0	135.0
17271.0	60.0	epochs	0.04	1.0	135.0
17362.0	60.0	epochs	0.04	2.0	45.0
17452.0	60.0	epochs	0.04	2.0	180.0
17543.0	60.0	epochs	0.04	2.0	0.0
17633.0	60.0	epochs	0.04	1.0	315.0
17724.0	60.0	epochs	0.04	2.0	315.0
17815.0	59.0	epochs	0.04	1.0	225.0
17905.0	60.0	epochs	0.04	2.0	135.0
17996.0	59.0	epochs	0.04	1.0	315.0
18086.0	60.0	epochs	0.04	2.0	225.0
18177.0	59.0	epochs	0.04	2.0	0.0
18267.0	60.0	epochs	0.04	2.0	135.0
18358.0	59.0	epochs	0.04	2.0	270.0
18448.0	60.0	epochs	0.04	1.0	315.0
18539.0	59.0	epochs	0.04	2.0	270.0
18629.0	60.0	epochs			
18720.0	59.0	epochs	0.04	1.0	0.0
18810.0	60.0	epochs	0.04	1.0	270.0
18901.0	59.0	epochs	0.04	2.0	45.0
18991.0	60.0	epochs	0.04	2.0	0.0
19082.0	60.0	epochs	0.04	2.0	90.0
19172.0	60.0	epochs	0.04	1.0	270.0
19263.0	60.0	epochs	0.04	2.0	45.0
19353.0	60.0	epochs	0.04	2.0	45.0
19444.0	60.0	epochs	0.04	2.0	225.0
19534.0	60.0	epochs	0.04	2.0	270.0
19625.0	60.0	epochs	0.04	1.0	315.0
19715.0	60.0	epochs			
19806.0	60.0	epochs	0.04	2.0	225.0
19896.0	60.0	epochs	0.04	1.0	315.0
19987.0	60.0	epochs			
20077.0	60.0	epochs	0.04	1.0	90.0
20168.0	60.0	epochs	0.04	2.0	180.0
20258.0	60.0	epochs	0.04	1.0	45.0
20349.0	60.0	epochs	0.04	2.0	180.0
20439.0	60.0	epochs	0.04	1.0	90.0
20530.0	60.0	epochs	0.04	1.0	180.0
20620.0	60.0	epochs	0.04	1.0	180.0
20711.0	60.0	epochs	0.04	2.0	45.0
20801.0	60.0	epochs	0.04	2.0	225.0
20892.0	60.0	epochs	0.04	1.0	90.0
20982.0	60.0	epochs			
21073.0	60.0	epochs			
21163.0	60.0	epochs	0.04	1.0	45.0
21254.0	60.0	epochs	0.04	2.0	0.0
21344.0	60.0	epochs	0.04	2.0	90.0
21435.0	60.0	epochs	0.04	2.0	315.0
21525.0	60.0	epochs	0.04	1.0	315.0
21616.0	60.0	epochs	0.04	1.0	45.0
21706.0	60.0	epochs	0.04	1.0	90.0
21797.0	60.0	epochs	0.04	1.0	315.0
21888.0	59.0	epochs	0.04	2.0	0.0
21978.0	60.0	epochs	0.04	1.0	270.0
22069.0	59.0	epochs	0.04	1.0	0.0
22159.0	60.0	epochs	0.04	2.0	0.0
22250.0	59.0	epochs	0.04	1.0	45.0
22340.0	60.0	epochs	0.04	2.0	135.0
22431.0	59.0	epochs	0.04	2.0	90.0
22521.0	60.0	epochs	0.04	2.0	135.0
22612.0	59.0	epochs	0.04	2.0	180.0
22702.0	60.0	epochs	0.04	1.0	180.0
22793.0	59.0	epochs	0.04	1.0	135.0
22883.0	60.0	epochs	0.04	2.0	90.0
22974.0	59.0	epochs	0.04	2.0	0.0
23064.0	60.0	epochs	0.04	1.0	45.0
23155.0	60.0	epochs	0.04	2.0	90.0
23245.0	60.0	epochs			
23336.0	60.0	epochs	0.04	1.0	225.0
23426.0	60.0	epochs	0.04	1.0	135.0
23517.0	60.0	epochs	0.04	1.0	90.0
23607.0	60.0	epochs	0.04	1.0	180.0
23698.0	60.0	epochs			
23788.0	60.0	epochs	0.04	1.0	0.0
23879.0	60.0	epochs	0.04	1.0	135.0
23969.0	60.0	epochs	0.04	2.0	90.0
24060.0	60.0	epochs	0.04	1.0	180.0
24150.0	60.0	epochs			
24241.0	60.0	epochs	0.04	2.0	225.0
24331.0	60.0	epochs	0.04	2.0	225.0
24422.0	60.0	epochs	0.04	2.0	0.0
24512.0	60.0	epochs	0.04	2.0	90.0
24603.0	60.0	epochs	0.04	1.0	270.0
24693.0	60.0	epochs	0.04	2.0	0.0
24784.0	60.0	epochs	0.04	1.0	135.0
24874.0	60.0	epochs	0.04	2.0	135.0
24965.0	60.0	epochs	0.04	2.0	90.0
25055.0	60.0	epochs	0.04	1.0	0.0
25146.0	60.0	epochs	0.04	2.0	0.0
25236.0	60.0	epochs	0.04	2.0	135.0
25327.0	60.0	epochs	0.04	1.0	180.0
25417.0	60.0	epochs	0.04	1.0	90.0
25508.0	60.0	epochs	0.04	2.0	135.0
25598.0	60.0	epochs	0.04	1.0	135.0
25689.0	60.0	epochs	0.04	2.0	0.0
25779.0	60.0	epochs	0.04	1.0	270.0
25870.0	60.0	epochs	0.04	1.0	0.0
25961.0	59.0	epochs	0.04	1.0	90.0
26051.0	60.0	epochs	0.04	2.0	0.0
26142.0	59.0	epochs	0.04	1.0	315.0
26232.0	60.0	epochs	0.04	1.0	0.0
26323.0	59.0	epochs	0.04	2.0	225.0
26413.0	60.0	epochs	0.04	1.0	0.0
26504.0	59.0	epochs	0.04	1.0	225.0
26594.0	60.0	epochs	0.04	2.0	45.0
26685.0	59.0	epochs	0.04	1.0	315.0
26775.0	60.0	epochs	0.04	1.0	180.0
26866.0	59.0	epochs	0.04	1.0	45.0
26956.0	60.0	epochs	0.04	1.0	45.0
27047.0	59.0	epochs	0.04	2.0	90.0
27137.0	60.0	epochs	0.04	2.0	0.0
27228.0	60.0	epochs	0.04	1.0	135.0
27318.0	60.0	epochs	0.04	1.0	180.0
27409.0	60.0	epochs	0.04	2.0	90.0
27499.0	60.0	epochs	0.04	2.0	180.0
27590.0	60.0	epochs	0.04	1.0	225.0
27680.0	60.0	epochs	0.04	2.0	45.0
27771.0	60.0	epochs	0.04	1.0	315.0
27861.0	60.0	epochs	0.04	2.0	45.0
27952.0	60.0	epochs	0.04	2.0	135.0
28042.0	60.0	epochs	0.04	1.0	0.0
28133.0	60.0	epochs	0.04	2.0	270.0
28223.0	60.0	epochs	0.04	1.0	135.0
28314.0	60.0	epochs	0.04	2.0	225.0
28404.0	60.0	epochs	0.04	1.0	0.0
28495.0	60.0	epochs	0.04	2.0	180.0
28585.0	60.0	epochs	0.04	1.0	135.0
28676.0	60.0	epochs			
28766.0	60.0	epochs	0.04	1.0	180.0
28857.0	60.0	epochs	0.04	2.0	180.0
28947.0	60.0	epochs	0.04	2.0	90.0
29038.0	60.0	epochs	0.04	2.0	0.0
29128.0	60.0	epochs	0.04	2.0	45.0
29219.0	60.0	epochs	0.04	1.0	270.0
29309.0	60.0	epochs	0.04	2.0	270.0
29400.0	60.0	epochs	0.04	2.0	90.0
29490.0	60.0	epochs	0.04	1.0	225.0
29581.0	60.0	epochs	0.04	2.0	315.0
29671.0	60.0	epochs	0.04	1.0	315.0
29762.0	60.0	epochs	0.04	1.0	315.0
29852.0	60.0	epochs	0.04	1.0	180.0
29943.0	60.0	epochs	0.04	2.0	180.0
30034.0	59.0	epochs	0.04	2.0	135.0
30124.0	60.0	epochs	0.04	2.0	180.0
30215.0	59.0	epochs	0.04	1.0	135.0
30305.0	60.0	epochs	0.04	2.0	45.0
30396.0	59.0	epochs	0.04	2.0	135.0
30486.0	60.0	epochs	0.04	2.0	45.0
30577.0	59.0	epochs	0.04	1.0	180.0
30667.0	60.0	epochs	0.04	1.0	0.0
30758.0	59.0	epochs	0.04	1.0	90.0
30848.0	60.0	epochs	0.04	1.0	90.0
30939.0	59.0	epochs	0.04	1.0	45.0
31029.0	60.0	epochs	0.04	2.0	135.0
31120.0	59.0	epochs	0.04	1.0	315.0
31210.0	60.0	epochs	0.04	2.0	45.0
31301.0	59.0	epochs	0.04	2.0	135.0
31391.0	60.0	epochs	0.04	1.0	225.0
31482.0	60.0	epochs	0.04	1.0	225.0
31572.0	60.0	epochs	0.04	2.0	135.0
