onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	225.0
535.0	60.0	epochs	0.04	2.0	135.0
626.0	59.0	epochs	0.04	1.0	270.0
716.0	60.0	epochs	0.04	2.0	270.0
806.0	60.0	epochs	0.04	1.0	90.0
897.0	59.0	epochs	0.04	1.0	135.0
987.0	60.0	epochs	0.04	2.0	45.0
1077.0	60.0	epochs	0.04	2.0	90.0
1168.0	59.0	epochs	0.04	2.0	45.0
1258.0	60.0	epochs	0.04	1.0	45.0
1348.0	60.0	epochs	0.04	2.0	225.0
1439.0	59.0	epochs	0.04	2.0	90.0
1529.0	60.0	epochs	0.04	2.0	270.0
1619.0	60.0	epochs	0.04	2.0	135.0
1710.0	59.0	epochs	0.04	1.0	225.0
1800.0	60.0	epochs	0.04	2.0	0.0
1890.0	60.0	epochs	0.04	1.0	180.0
1981.0	59.0	epochs	0.04	2.0	270.0
2071.0	60.0	epochs	0.04	2.0	0.0
2161.0	60.0	epochs	0.04	2.0	135.0
2251.0	60.0	epochs	0.04	1.0	180.0
2342.0	60.0	epochs	0.04	2.0	180.0
2432.0	60.0	epochs	0.04	2.0	90.0
2522.0	60.0	epochs	0.04	1.0	0.0
2613.0	59.0	epochs	0.04	1.0	0.0
2703.0	60.0	epochs	0.04	1.0	0.0
2793.0	60.0	epochs	0.04	1.0	90.0
2884.0	59.0	epochs	0.04	2.0	270.0
2974.0	60.0	epochs	0.04	1.0	180.0
3064.0	60.0	epochs	0.04	2.0	45.0
3155.0	59.0	epochs	0.04	1.0	180.0
3245.0	60.0	epochs	0.04	1.0	270.0
3335.0	60.0	epochs	0.04	2.0	270.0
3426.0	59.0	epochs	0.04	2.0	225.0
3516.0	60.0	epochs	0.04	1.0	315.0
3606.0	60.0	epochs	0.04	2.0	90.0
3697.0	59.0	epochs	0.04	2.0	0.0
3787.0	60.0	epochs	0.04	2.0	225.0
3877.0	60.0	epochs	0.04	1.0	45.0
3968.0	59.0	epochs	0.04	1.0	90.0
4058.0	60.0	epochs	0.04	2.0	135.0
4148.0	60.0	epochs	0.04	1.0	180.0
4239.0	59.0	epochs	0.04	1.0	270.0
4329.0	60.0	epochs	0.04	2.0	270.0
4419.0	60.0	epochs	0.04	1.0	180.0
4509.0	60.0	epochs	0.04	1.0	135.0
4600.0	59.0	epochs	0.04	1.0	90.0
4690.0	60.0	epochs	0.04	2.0	135.0
4780.0	60.0	epochs	0.04	1.0	180.0
4871.0	59.0	epochs	0.04	1.0	225.0
4961.0	60.0	epochs	0.04	1.0	135.0
5051.0	60.0	epochs	0.04	1.0	180.0
5142.0	59.0	epochs	0.04	1.0	225.0
5232.0	60.0	epochs	0.04	1.0	45.0
5322.0	60.0	epochs	0.04	1.0	90.0
5413.0	59.0	epochs	0.04	1.0	135.0
5503.0	60.0	epochs	0.04	2.0	225.0
5593.0	60.0	epochs	0.04	1.0	315.0
5684.0	59.0	epochs	0.04	1.0	45.0
5774.0	60.0	epochs	0.04	1.0	225.0
5864.0	60.0	epochs	0.04	2.0	225.0
5955.0	59.0	epochs	0.04	2.0	315.0
6045.0	60.0	epochs	0.04	1.0	90.0
6135.0	60.0	epochs	0.04	2.0	0.0
6226.0	59.0	epochs	0.04	2.0	270.0
6316.0	60.0	epochs	0.04	2.0	315.0
6406.0	60.0	epochs	0.04	1.0	0.0
6496.0	60.0	epochs	0.04	1.0	45.0
6587.0	59.0	epochs			
6677.0	60.0	epochs	0.04	1.0	225.0
6767.0	60.0	epochs	0.04	2.0	270.0
6858.0	59.0	epochs	0.04	1.0	225.0
6948.0	60.0	epochs			
7038.0	60.0	epochs	0.04	2.0	45.0
7129.0	59.0	epochs	0.04	2.0	270.0
7219.0	60.0	epochs			
7309.0	60.0	epochs	0.04	1.0	315.0
7400.0	59.0	epochs	0.04	1.0	180.0
7490.0	60.0	epochs	0.04	2.0	90.0
7580.0	60.0	epochs	0.04	2.0	225.0
7671.0	59.0	epochs	0.04	1.0	270.0
7761.0	60.0	epochs	0.04	2.0	45.0
7851.0	60.0	epochs			
7942.0	59.0	epochs	0.04	2.0	270.0
8032.0	60.0	epochs	0.04	2.0	0.0
8122.0	60.0	epochs			
8213.0	59.0	epochs	0.04	1.0	135.0
8303.0	60.0	epochs	0.04	2.0	315.0
8393.0	60.0	epochs	0.04	1.0	45.0
8483.0	60.0	epochs	0.04	1.0	135.0
8574.0	59.0	epochs	0.04	2.0	0.0
8664.0	60.0	epochs	0.04	1.0	225.0
8754.0	60.0	epochs	0.04	2.0	225.0
8845.0	59.0	epochs			
8935.0	60.0	epochs	0.04	2.0	135.0
9025.0	60.0	epochs	0.04	2.0	135.0
9116.0	59.0	epochs	0.04	2.0	180.0
9206.0	60.0	epochs	0.04	2.0	90.0
9296.0	60.0	epochs	0.04	2.0	270.0
9387.0	59.0	epochs	0.04	2.0	315.0
9477.0	60.0	epochs	0.04	2.0	270.0
9567.0	60.0	epochs	0.04	1.0	0.0
9658.0	59.0	epochs	0.04	2.0	180.0
9748.0	60.0	epochs	0.04	1.0	135.0
9838.0	60.0	epochs	0.04	1.0	180.0
9929.0	59.0	epochs			
