onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	135.0
535.0	60.0	epochs	0.04	1.0	315.0
626.0	59.0	epochs	0.04	1.0	0.0
716.0	60.0	epochs	0.04	2.0	135.0
806.0	60.0	epochs	0.04	1.0	0.0
896.0	60.0	epochs	0.04	2.0	45.0
987.0	59.0	epochs			
1077.0	60.0	epochs	0.04	2.0	225.0
1167.0	60.0	epochs	0.04	1.0	315.0
1258.0	59.0	epochs	0.04	1.0	225.0
1348.0	60.0	epochs	0.04	2.0	315.0
1438.0	60.0	epochs	0.04	2.0	135.0
1529.0	59.0	epochs	0.04	1.0	315.0
1619.0	60.0	epochs	0.04	1.0	180.0
1709.0	60.0	epochs			
1800.0	59.0	epochs	0.04	1.0	135.0
1890.0	60.0	epochs	0.04	1.0	45.0
1980.0	60.0	epochs	0.04	1.0	270.0
2071.0	59.0	epochs	0.04	2.0	180.0
2161.0	60.0	epochs	0.04	2.0	315.0
2251.0	60.0	epochs	0.04	1.0	315.0
2341.0	60.0	epochs	0.04	1.0	180.0
2432.0	59.0	epochs	0.04	2.0	270.0
2522.0	60.0	epochs			
2612.0	60.0	epochs	0.04	1.0	135.0
2703.0	59.0	epochs	0.04	2.0	0.0
2793.0	60.0	epochs	0.04	1.0	135.0
2883.0	60.0	epochs	0.04	2.0	180.0
2974.0	59.0	epochs	0.04	1.0	90.0
3064.0	60.0	epochs	0.04	2.0	45.0
3154.0	60.0	epochs	0.04	1.0	90.0
3245.0	59.0	epochs	0.04	2.0	45.0
3335.0	60.0	epochs			
3425.0	60.0	epochs	0.04	1.0	315.0
3515.0	60.0	epochs	0.04	1.0	90.0
3606.0	60.0	epochs	0.04	2.0	45.0
3696.0	60.0	epochs	0.04	2.0	315.0
3786.0	60.0	epochs	0.04	1.0	90.0
3877.0	59.0	epochs	0.04	1.0	315.0
3967.0	60.0	epochs	0.04	1.0	0.0
4057.0	60.0	epochs	0.04	1.0	270.0
4148.0	59.0	epochs	0.04	2.0	135.0
4238.0	60.0	epochs	0.04	2.0	135.0
4328.0	60.0	epochs	0.04	2.0	135.0
4419.0	59.0	epochs	0.04	2.0	225.0
4509.0	60.0	epochs	0.04	2.0	135.0
4599.0	60.0	epochs	0.04	1.0	225.0
4690.0	59.0	epochs	0.04	1.0	135.0
4780.0	60.0	epochs	0.04	2.0	0.0
4870.0	60.0	epochs	0.04	1.0	180.0
4960.0	60.0	epochs	0.04	2.0	0.0
5051.0	59.0	epochs	0.04	1.0	45.0
5141.0	60.0	epochs	0.04	1.0	180.0
5231.0	60.0	epochs	0.04	1.0	180.0
5322.0	59.0	epochs	0.04	2.0	0.0
5412.0	60.0	epochs	0.04	1.0	0.0
5502.0	60.0	epochs	0.04	2.0	315.0
5593.0	59.0	epochs	0.04	2.0	315.0
5683.0	60.0	epochs	0.04	1.0	225.0
5773.0	60.0	epochs	0.04	1.0	135.0
5864.0	59.0	epochs	0.04	1.0	45.0
5954.0	60.0	epochs	0.04	1.0	315.0
6044.0	60.0	epochs	0.04	1.0	90.0
6135.0	59.0	epochs	0.04	1.0	45.0
6225.0	60.0	epochs	0.04	2.0	225.0
6315.0	60.0	epochs	0.04	1.0	0.0
6405.0	60.0	epochs	0.04	2.0	225.0
6496.0	59.0	epochs	0.04	2.0	45.0
6586.0	60.0	epochs			
6676.0	60.0	epochs	0.04	1.0	225.0
6767.0	59.0	epochs	0.04	1.0	90.0
6857.0	60.0	epochs	0.04	2.0	0.0
6947.0	60.0	epochs	0.04	1.0	180.0
7038.0	59.0	epochs	0.04	1.0	270.0
7128.0	60.0	epochs	0.04	2.0	180.0
7218.0	60.0	epochs	0.04	2.0	90.0
7309.0	59.0	epochs	0.04	1.0	180.0
7399.0	60.0	epochs	0.04	2.0	90.0
7489.0	60.0	epochs	0.04	2.0	270.0
7579.0	60.0	epochs	0.04	2.0	0.0
7670.0	59.0	epochs	0.04	1.0	135.0
7760.0	60.0	epochs	0.04	2.0	45.0
7850.0	60.0	epochs	0.04	1.0	45.0
7941.0	59.0	epochs	0.04	1.0	270.0
8031.0	60.0	epochs	0.04	1.0	270.0
8121.0	60.0	epochs	0.04	2.0	45.0
8212.0	59.0	epochs	0.04	2.0	270.0
8302.0	60.0	epochs	0.04	2.0	180.0
8392.0	60.0	epochs	0.04	1.0	225.0
8483.0	59.0	epochs	0.04	1.0	315.0
8573.0	60.0	epochs	0.04	1.0	225.0
8663.0	60.0	epochs			
8754.0	59.0	epochs	0.04	2.0	270.0
8844.0	60.0	epochs	0.04	2.0	225.0
8934.0	60.0	epochs			
9024.0	60.0	epochs	0.04	2.0	315.0
9115.0	59.0	epochs	0.04	1.0	225.0
9205.0	60.0	epochs	0.04	2.0	135.0
9295.0	60.0	epochs	0.04	2.0	225.0
9386.0	59.0	epochs	0.04	1.0	270.0
9476.0	60.0	epochs	0.04	1.0	90.0
9566.0	60.0	epochs	0.04	2.0	180.0
9657.0	59.0	epochs	0.04	2.0	135.0
9747.0	60.0	epochs	0.04	2.0	315.0
9837.0	60.0	epochs	0.04	1.0	135.0
9928.0	59.0	epochs	0.04	2.0	135.0
10018.0	60.0	epochs			
10108.0	60.0	epochs	0.04	1.0	0.0
10198.0	60.0	epochs	0.04	1.0	45.0
10289.0	59.0	epochs	0.04	1.0	90.0
10379.0	60.0	epochs			
10469.0	60.0	epochs	0.04	2.0	315.0
10560.0	59.0	epochs	0.04	1.0	90.0
10650.0	60.0	epochs	0.04	1.0	135.0
10740.0	60.0	epochs	0.04	1.0	135.0
10831.0	59.0	epochs	0.04	2.0	90.0
10921.0	60.0	epochs	0.04	2.0	135.0
11011.0	60.0	epochs	0.04	2.0	180.0
11102.0	59.0	epochs	0.04	2.0	90.0
11192.0	60.0	epochs	0.04	2.0	180.0
11282.0	60.0	epochs	0.04	2.0	315.0
11373.0	59.0	epochs	0.04	1.0	180.0
11463.0	60.0	epochs	0.04	2.0	225.0
11553.0	60.0	epochs	0.04	1.0	270.0
11643.0	60.0	epochs	0.04	2.0	90.0
11734.0	59.0	epochs	0.04	1.0	180.0
11824.0	60.0	epochs	0.04	2.0	270.0
11914.0	60.0	epochs	0.04	1.0	90.0
12005.0	59.0	epochs	0.04	1.0	315.0
12095.0	60.0	epochs	0.04	1.0	225.0
12185.0	60.0	epochs	0.04	2.0	0.0
12276.0	59.0	epochs	0.04	1.0	270.0
12366.0	60.0	epochs	0.04	1.0	270.0
12456.0	60.0	epochs	0.04	2.0	270.0
12547.0	59.0	epochs	0.04	1.0	0.0
12637.0	60.0	epochs	0.04	2.0	315.0
12727.0	60.0	epochs	0.04	1.0	135.0
12817.0	60.0	epochs	0.04	1.0	315.0
12908.0	59.0	epochs	0.04	2.0	45.0
12998.0	60.0	epochs	0.04	2.0	135.0
13088.0	60.0	epochs	0.04	2.0	180.0
13179.0	59.0	epochs	0.04	1.0	270.0
13269.0	60.0	epochs	0.04	2.0	270.0
13359.0	60.0	epochs	0.04	1.0	135.0
13450.0	59.0	epochs	0.04	1.0	180.0
13540.0	60.0	epochs	0.04	2.0	315.0
13630.0	60.0	epochs	0.04	1.0	180.0
13721.0	59.0	epochs	0.04	1.0	315.0
13811.0	60.0	epochs	0.04	1.0	0.0
13901.0	60.0	epochs	0.04	1.0	315.0
13992.0	59.0	epochs	0.04	2.0	0.0
14082.0	60.0	epochs			
14172.0	60.0	epochs	0.04	2.0	180.0
14262.0	60.0	epochs	0.04	2.0	0.0
14353.0	59.0	epochs	0.04	1.0	135.0
14443.0	60.0	epochs	0.04	2.0	45.0
14533.0	60.0	epochs	0.04	2.0	270.0
14624.0	59.0	epochs	0.04	1.0	45.0
14714.0	60.0	epochs	0.04	1.0	45.0
14804.0	60.0	epochs			
14895.0	59.0	epochs	0.04	1.0	90.0
14985.0	60.0	epochs	0.04	2.0	90.0
15075.0	60.0	epochs	0.04	1.0	45.0
