onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
446.0	59.0	epochs			
536.0	60.0	epochs	0.04	1.0	90.0
626.0	60.0	epochs	0.04	1.0	0.0
716.0	60.0	epochs	0.04	2.0	315.0
807.0	59.0	epochs	0.04	1.0	180.0
897.0	60.0	epochs	0.04	1.0	270.0
987.0	60.0	epochs	0.04	1.0	90.0
1078.0	59.0	epochs	0.04	2.0	315.0
1168.0	60.0	epochs	0.04	1.0	0.0
1258.0	60.0	epochs	0.04	1.0	225.0
1349.0	59.0	epochs	0.04	2.0	90.0
1439.0	60.0	epochs	0.04	1.0	90.0
1529.0	60.0	epochs	0.04	1.0	270.0
1620.0	59.0	epochs	0.04	2.0	270.0
1710.0	60.0	epochs	0.04	1.0	270.0
1800.0	60.0	epochs	0.04	1.0	135.0
1891.0	59.0	epochs			
1981.0	60.0	epochs	0.04	1.0	225.0
2071.0	60.0	epochs	0.04	1.0	315.0
2162.0	59.0	epochs	0.04	2.0	90.0
2252.0	60.0	epochs	0.04	2.0	180.0
2342.0	60.0	epochs	0.04	1.0	90.0
2432.0	60.0	epochs	0.04	1.0	45.0
2523.0	60.0	epochs	0.04	2.0	0.0
2613.0	60.0	epochs	0.04	2.0	270.0
2703.0	60.0	epochs	0.04	2.0	45.0
2794.0	59.0	epochs	0.04	2.0	0.0
2884.0	60.0	epochs	0.04	2.0	45.0
2974.0	60.0	epochs	0.04	2.0	135.0
3065.0	59.0	epochs	0.04	2.0	270.0
3155.0	60.0	epochs	0.04	1.0	90.0
3245.0	60.0	epochs	0.04	1.0	45.0
3336.0	59.0	epochs	0.04	1.0	225.0
3426.0	60.0	epochs	0.04	2.0	135.0
3516.0	60.0	epochs	0.04	1.0	135.0
3607.0	59.0	epochs	0.04	2.0	45.0
3697.0	60.0	epochs	0.04	2.0	270.0
3787.0	60.0	epochs	0.04	2.0	180.0
3878.0	59.0	epochs	0.04	1.0	135.0
3968.0	60.0	epochs	0.04	2.0	90.0
