onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
435.0	60.0	epochs	0.04	2.0	135.0
526.0	59.0	epochs	0.04	1.0	45.0
616.0	60.0	epochs	0.04	2.0	45.0
707.0	59.0	epochs	0.04	1.0	180.0
797.0	60.0	epochs	0.04	2.0	270.0
888.0	60.0	epochs	0.04	2.0	0.0
978.0	60.0	epochs	0.04	1.0	180.0
1069.0	60.0	epochs	0.04	2.0	90.0
1159.0	60.0	epochs	0.04	1.0	0.0
1250.0	60.0	epochs	0.04	2.0	225.0
1340.0	60.0	epochs	0.04	2.0	270.0
1431.0	60.0	epochs	0.04	1.0	45.0
1521.0	60.0	epochs	0.04	2.0	270.0
1612.0	60.0	epochs	0.04	2.0	180.0
1702.0	60.0	epochs	0.04	1.0	315.0
1793.0	60.0	epochs	0.04	1.0	270.0
1883.0	60.0	epochs	0.04	1.0	180.0
1974.0	60.0	epochs	0.04	1.0	135.0
2065.0	59.0	epochs	0.04	1.0	315.0
2155.0	60.0	epochs	0.04	2.0	315.0
2246.0	59.0	epochs	0.04	2.0	0.0
2336.0	60.0	epochs	0.04	1.0	225.0
2427.0	59.0	epochs	0.04	1.0	315.0
2517.0	60.0	epochs	0.04	2.0	45.0
2608.0	59.0	epochs	0.04	1.0	0.0
2698.0	60.0	epochs	0.04	1.0	315.0
2789.0	60.0	epochs	0.04	2.0	0.0
2879.0	60.0	epochs	0.04	1.0	225.0
2970.0	60.0	epochs	0.04	2.0	315.0
3060.0	62.0	epochs	0.04	1.0	90.0
3152.0	60.0	epochs	0.04	1.0	270.0
3243.0	60.0	epochs	0.04	1.0	45.0
3333.0	60.0	epochs	0.04	1.0	270.0
3424.0	60.0	epochs	0.04	2.0	90.0
3514.0	60.0	epochs	0.04	2.0	315.0
3605.0	60.0	epochs	0.04	1.0	270.0
3695.0	60.0	epochs	0.04	1.0	0.0
3786.0	60.0	epochs	0.04	1.0	315.0
3876.0	60.0	epochs	0.04	2.0	225.0
3967.0	60.0	epochs	0.04	1.0	45.0
4058.0	59.0	epochs	0.04	1.0	90.0
4148.0	60.0	epochs	0.04	1.0	180.0
4239.0	59.0	epochs			
4329.0	60.0	epochs	0.04	1.0	135.0
4420.0	59.0	epochs	0.04	2.0	135.0
4510.0	60.0	epochs	0.04	1.0	45.0
4601.0	60.0	epochs	0.04	1.0	45.0
4691.0	60.0	epochs	0.04	1.0	0.0
4782.0	60.0	epochs	0.04	1.0	0.0
4872.0	60.0	epochs	0.04	1.0	270.0
4963.0	60.0	epochs	0.04	1.0	90.0
5053.0	60.0	epochs	0.04	2.0	135.0
5144.0	60.0	epochs	0.04	2.0	315.0
5234.0	60.0	epochs	0.04	1.0	270.0
5325.0	60.0	epochs	0.04	1.0	225.0
5415.0	60.0	epochs	0.04	2.0	315.0
5506.0	60.0	epochs	0.04	2.0	315.0
5596.0	60.0	epochs	0.04	2.0	90.0
5687.0	60.0	epochs	0.04	2.0	135.0
5777.0	60.0	epochs	0.04	2.0	135.0
5868.0	60.0	epochs	0.04	2.0	180.0
5959.0	59.0	epochs	0.04	1.0	45.0
6049.0	60.0	epochs	0.04	2.0	225.0
6140.0	59.0	epochs	0.04	1.0	135.0
6230.0	60.0	epochs			
6321.0	59.0	epochs	0.04	2.0	225.0
6411.0	60.0	epochs	0.04	1.0	225.0
6502.0	60.0	epochs	0.04	2.0	90.0
6592.0	60.0	epochs	0.04	1.0	90.0
6683.0	60.0	epochs	0.04	1.0	225.0
6773.0	60.0	epochs	0.04	2.0	135.0
6864.0	60.0	epochs	0.04	2.0	90.0
6954.0	60.0	epochs	0.04	2.0	315.0
7045.0	60.0	epochs	0.04	2.0	45.0
7135.0	60.0	epochs	0.04	2.0	90.0
7226.0	60.0	epochs	0.04	2.0	135.0
7316.0	60.0	epochs	0.04	1.0	135.0
7407.0	60.0	epochs	0.04	1.0	45.0
7497.0	60.0	epochs	0.04	1.0	90.0
7588.0	60.0	epochs	0.04	2.0	315.0
7678.0	60.0	epochs	0.04	2.0	45.0
7769.0	60.0	epochs	0.04	1.0	90.0
7860.0	59.0	epochs	0.04	2.0	45.0
7950.0	60.0	epochs	0.04	1.0	45.0
8041.0	59.0	epochs	0.04	2.0	135.0
8131.0	60.0	epochs	0.04	1.0	315.0
8222.0	59.0	epochs	0.04	1.0	135.0
8312.0	60.0	epochs	0.04	2.0	90.0
8403.0	60.0	epochs	0.04	1.0	0.0
8493.0	60.0	epochs	0.04	1.0	135.0
