onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
435.0	60.0	epochs	0.04	2.0	315.0
526.0	60.0	epochs	0.04	1.0	45.0
616.0	60.0	epochs	0.04	2.0	180.0
707.0	60.0	epochs	0.04	2.0	45.0
797.0	60.0	epochs	0.04	1.0	90.0
888.0	60.0	epochs	0.04	1.0	180.0
978.0	60.0	epochs	0.04	1.0	0.0
1069.0	60.0	epochs	0.04	1.0	0.0
1159.0	60.0	epochs	0.04	1.0	90.0
1250.0	60.0	epochs	0.04	2.0	135.0
1340.0	60.0	epochs	0.04	2.0	45.0
1431.0	60.0	epochs	0.04	1.0	90.0
1521.0	60.0	epochs	0.04	1.0	225.0
1612.0	60.0	epochs	0.04	2.0	135.0
1703.0	59.0	epochs	0.04	2.0	315.0
1793.0	60.0	epochs	0.04	2.0	0.0
1884.0	59.0	epochs	0.04	1.0	135.0
1974.0	60.0	epochs	0.04	1.0	135.0
2065.0	59.0	epochs			
2155.0	60.0	epochs	0.04	1.0	135.0
2246.0	59.0	epochs	0.04	1.0	225.0
2336.0	60.0	epochs			
2427.0	59.0	epochs	0.04	2.0	225.0
2517.0	60.0	epochs	0.04	2.0	315.0
2608.0	59.0	epochs	0.04	1.0	315.0
2698.0	60.0	epochs	0.04	2.0	135.0
2789.0	60.0	epochs			
2879.0	60.0	epochs	0.04	1.0	270.0
2970.0	60.0	epochs	0.04	2.0	90.0
3060.0	60.0	epochs	0.04	1.0	270.0
3151.0	60.0	epochs	0.04	2.0	225.0
3241.0	60.0	epochs	0.04	2.0	90.0
3332.0	60.0	epochs			
3422.0	60.0	epochs	0.04	1.0	270.0
3513.0	60.0	epochs	0.04	2.0	45.0
3603.0	60.0	epochs	0.04	1.0	225.0
3694.0	60.0	epochs	0.04	1.0	0.0
3784.0	60.0	epochs	0.04	2.0	135.0
3875.0	60.0	epochs	0.04	2.0	180.0
3965.0	60.0	epochs	0.04	2.0	315.0
4056.0	60.0	epochs	0.04	2.0	225.0
4146.0	60.0	epochs	0.04	1.0	0.0
4237.0	60.0	epochs	0.04	2.0	45.0
4327.0	60.0	epochs			
4418.0	60.0	epochs	0.04	1.0	90.0
4508.0	60.0	epochs	0.04	1.0	270.0
4599.0	60.0	epochs	0.04	1.0	90.0
4689.0	60.0	epochs	0.04	1.0	45.0
4780.0	60.0	epochs			
4870.0	60.0	epochs	0.04	2.0	90.0
4961.0	60.0	epochs	0.04	2.0	270.0
5052.0	59.0	epochs	0.04	1.0	180.0
5142.0	60.0	epochs	0.04	1.0	270.0
5233.0	59.0	epochs	0.04	1.0	315.0
5323.0	60.0	epochs	0.04	2.0	225.0
5414.0	59.0	epochs	0.04	1.0	315.0
5504.0	60.0	epochs	0.04	1.0	135.0
5595.0	59.0	epochs	0.04	2.0	180.0
5685.0	60.0	epochs			
5776.0	59.0	epochs	0.04	2.0	45.0
5866.0	60.0	epochs	0.04	2.0	270.0
5957.0	59.0	epochs	0.04	1.0	45.0
6047.0	60.0	epochs	0.04	1.0	180.0
6138.0	60.0	epochs	0.04	2.0	0.0
6228.0	60.0	epochs	0.04	1.0	225.0
6319.0	60.0	epochs	0.04	2.0	45.0
6409.0	60.0	epochs	0.04	2.0	0.0
6500.0	60.0	epochs	0.04	2.0	135.0
6590.0	60.0	epochs	0.04	2.0	135.0
6681.0	60.0	epochs	0.04	2.0	270.0
6771.0	60.0	epochs	0.04	2.0	225.0
6862.0	60.0	epochs	0.04	1.0	90.0
6952.0	60.0	epochs	0.04	1.0	45.0
7043.0	60.0	epochs	0.04	2.0	135.0
7133.0	60.0	epochs	0.04	2.0	315.0
7224.0	60.0	epochs	0.04	2.0	45.0
7314.0	60.0	epochs	0.04	1.0	180.0
