onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
435.0	60.0	epochs	0.04	1.0	0.0
526.0	59.0	epochs	0.04	1.0	315.0
616.0	60.0	epochs	0.04	1.0	90.0
707.0	59.0	epochs	0.04	2.0	135.0
797.0	60.0	epochs	0.04	1.0	270.0
888.0	59.0	epochs	0.04	2.0	0.0
978.0	60.0	epochs	0.04	2.0	90.0
1069.0	59.0	epochs	0.04	2.0	225.0
1159.0	60.0	epochs	0.04	2.0	90.0
1250.0	60.0	epochs	0.04	2.0	180.0
1340.0	60.0	epochs	0.04	2.0	225.0
1431.0	60.0	epochs	0.04	1.0	225.0
1521.0	60.0	epochs	0.04	1.0	90.0
1612.0	60.0	epochs	0.04	2.0	90.0
1702.0	60.0	epochs	0.04	1.0	315.0
1793.0	60.0	epochs	0.04	2.0	90.0
1883.0	60.0	epochs	0.04	1.0	315.0
1974.0	60.0	epochs	0.04	1.0	180.0
2064.0	60.0	epochs	0.04	2.0	315.0
2155.0	60.0	epochs	0.04	2.0	225.0
2245.0	60.0	epochs	0.04	2.0	225.0
2336.0	60.0	epochs	0.04	1.0	225.0
2426.0	60.0	epochs	0.04	2.0	90.0
2517.0	60.0	epochs	0.04	2.0	45.0
2607.0	60.0	epochs	0.04	1.0	270.0
2698.0	60.0	epochs	0.04	2.0	135.0
2789.0	59.0	epochs	0.04	2.0	180.0
2879.0	60.0	epochs	0.04	1.0	180.0
2970.0	59.0	epochs	0.04	2.0	45.0
3060.0	60.0	epochs	0.04	2.0	315.0
3151.0	59.0	epochs	0.04	1.0	180.0
3241.0	60.0	epochs	0.04	1.0	270.0
3332.0	59.0	epochs	0.04	2.0	0.0
3422.0	60.0	epochs	0.04	1.0	225.0
3513.0	59.0	epochs			
3603.0	60.0	epochs			
3694.0	60.0	epochs	0.04	2.0	90.0
3784.0	60.0	epochs	0.04	2.0	0.0
3875.0	60.0	epochs	0.04	1.0	135.0
3965.0	60.0	epochs	0.04	1.0	315.0
4056.0	60.0	epochs	0.04	2.0	45.0
4146.0	60.0	epochs	0.04	2.0	270.0
4237.0	60.0	epochs	0.04	2.0	0.0
4327.0	60.0	epochs	0.04	1.0	0.0
4418.0	60.0	epochs	0.04	1.0	90.0
4508.0	60.0	epochs	0.04	2.0	270.0
4599.0	60.0	epochs	0.04	1.0	225.0
4689.0	60.0	epochs	0.04	1.0	315.0
4780.0	60.0	epochs	0.04	1.0	225.0
4870.0	60.0	epochs			
4961.0	60.0	epochs			
5051.0	60.0	epochs	0.04	1.0	135.0
5142.0	60.0	epochs	0.04	1.0	45.0
5233.0	59.0	epochs	0.04	1.0	0.0
5323.0	60.0	epochs	0.04	1.0	225.0
5414.0	59.0	epochs	0.04	2.0	180.0
5504.0	60.0	epochs	0.04	1.0	315.0
5595.0	59.0	epochs	0.04	1.0	270.0
5685.0	60.0	epochs			
5776.0	59.0	epochs	0.04	2.0	180.0
5866.0	60.0	epochs	0.04	1.0	90.0
5957.0	60.0	epochs	0.04	1.0	180.0
6047.0	60.0	epochs	0.04	2.0	180.0
6138.0	60.0	epochs	0.04	2.0	90.0
6228.0	60.0	epochs	0.04	1.0	45.0
6319.0	60.0	epochs	0.04	1.0	90.0
6409.0	60.0	epochs	0.04	2.0	0.0
6500.0	60.0	epochs	0.04	2.0	315.0
6590.0	60.0	epochs	0.04	1.0	270.0
6681.0	60.0	epochs	0.04	2.0	315.0
6771.0	60.0	epochs	0.04	1.0	225.0
6862.0	60.0	epochs	0.04	1.0	0.0
6952.0	60.0	epochs	0.04	2.0	315.0
7043.0	60.0	epochs	0.04	2.0	135.0
7133.0	60.0	epochs	0.04	1.0	90.0
7224.0	60.0	epochs	0.04	2.0	0.0
7314.0	60.0	epochs	0.04	1.0	180.0
7405.0	60.0	epochs	0.04	2.0	270.0
7495.0	60.0	epochs	0.04	2.0	270.0
7586.0	60.0	epochs	0.04	1.0	270.0
7677.0	59.0	epochs	0.04	1.0	270.0
7767.0	60.0	epochs	0.04	2.0	315.0
7858.0	59.0	epochs	0.04	2.0	135.0
7948.0	60.0	epochs	0.04	2.0	90.0
8039.0	59.0	epochs	0.04	1.0	315.0
8129.0	60.0	epochs	0.04	1.0	225.0
8220.0	59.0	epochs	0.04	1.0	315.0
8310.0	60.0	epochs	0.04	1.0	0.0
8401.0	60.0	epochs	0.04	2.0	270.0
8491.0	60.0	epochs	0.04	1.0	180.0
8582.0	60.0	epochs	0.04	1.0	225.0
8672.0	60.0	epochs	0.04	1.0	90.0
8763.0	60.0	epochs	0.04	2.0	315.0
8853.0	60.0	epochs			
8944.0	60.0	epochs	0.04	2.0	135.0
9034.0	60.0	epochs	0.04	2.0	45.0
9125.0	60.0	epochs	0.04	2.0	180.0
9215.0	60.0	epochs	0.04	1.0	270.0
9306.0	60.0	epochs	0.04	1.0	90.0
9396.0	60.0	epochs	0.04	2.0	45.0
9487.0	60.0	epochs	0.04	1.0	135.0
9577.0	68.0	epochs	0.04	2.0	90.0
9676.0	60.0	epochs	0.04	1.0	315.0
9766.0	60.0	epochs	0.04	1.0	180.0
9857.0	60.0	epochs			
9948.0	59.0	epochs			
10038.0	60.0	epochs	0.04	1.0	225.0
10129.0	59.0	epochs			
10219.0	60.0	epochs	0.04	2.0	180.0
10310.0	59.0	epochs	0.04	1.0	45.0
10400.0	60.0	epochs	0.04	1.0	45.0
10491.0	59.0	epochs	0.04	1.0	270.0
10581.0	60.0	epochs	0.04	2.0	180.0
10672.0	60.0	epochs	0.04	2.0	180.0
10762.0	60.0	epochs	0.04	2.0	135.0
10853.0	60.0	epochs	0.04	1.0	0.0
10943.0	60.0	epochs	0.04	2.0	90.0
11034.0	60.0	epochs	0.04	1.0	135.0
11124.0	60.0	epochs	0.04	1.0	315.0
11215.0	60.0	epochs	0.04	2.0	225.0
11305.0	60.0	epochs	0.04	2.0	225.0
11396.0	60.0	epochs	0.04	1.0	225.0
11486.0	60.0	epochs	0.04	1.0	45.0
11577.0	60.0	epochs	0.04	2.0	315.0
11667.0	60.0	epochs	0.04	2.0	270.0
11758.0	60.0	epochs	0.04	1.0	270.0
11848.0	60.0	epochs	0.04	2.0	90.0
11939.0	60.0	epochs	0.04	1.0	135.0
12029.0	60.0	epochs	0.04	1.0	90.0
12120.0	60.0	epochs	0.04	2.0	225.0
12211.0	59.0	epochs	0.04	2.0	0.0
12301.0	60.0	epochs	0.04	2.0	45.0
12392.0	59.0	epochs	0.04	2.0	270.0
12482.0	60.0	epochs	0.04	2.0	225.0
12573.0	59.0	epochs	0.04	2.0	0.0
12663.0	60.0	epochs	0.04	1.0	315.0
12754.0	59.0	epochs	0.04	2.0	180.0
12844.0	60.0	epochs	0.04	2.0	135.0
12935.0	59.0	epochs	0.04	2.0	0.0
13025.0	60.0	epochs	0.04	2.0	225.0
13116.0	60.0	epochs	0.04	1.0	90.0
13206.0	60.0	epochs	0.04	2.0	225.0
13297.0	60.0	epochs	0.04	2.0	225.0
13387.0	60.0	epochs	0.04	1.0	0.0
13478.0	60.0	epochs	0.04	2.0	225.0
13568.0	60.0	epochs	0.04	2.0	270.0
13659.0	60.0	epochs	0.04	1.0	0.0
13749.0	60.0	epochs	0.04	1.0	315.0
13840.0	60.0	epochs	0.04	1.0	0.0
13930.0	60.0	epochs	0.04	2.0	225.0
14021.0	60.0	epochs	0.04	1.0	45.0
14111.0	60.0	epochs	0.04	1.0	180.0
14202.0	60.0	epochs	0.04	1.0	0.0
14292.0	60.0	epochs	0.04	1.0	45.0
14383.0	60.0	epochs			
14473.0	60.0	epochs	0.04	1.0	270.0
14564.0	60.0	epochs	0.04	1.0	90.0
14655.0	59.0	epochs	0.04	1.0	45.0
14745.0	60.0	epochs	0.04	1.0	0.0
14836.0	59.0	epochs	0.04	2.0	225.0
14926.0	60.0	epochs	0.04	2.0	90.0
15017.0	59.0	epochs	0.04	1.0	0.0
15107.0	60.0	epochs	0.04	2.0	270.0
15198.0	59.0	epochs	0.04	1.0	45.0
15288.0	60.0	epochs	0.04	1.0	225.0
15379.0	59.0	epochs	0.04	2.0	270.0
15469.0	60.0	epochs	0.04	2.0	225.0
15560.0	60.0	epochs	0.04	1.0	90.0
15650.0	60.0	epochs	0.04	2.0	0.0
15741.0	60.0	epochs	0.04	2.0	315.0
15831.0	60.0	epochs	0.04	2.0	45.0
15922.0	60.0	epochs	0.04	2.0	90.0
16012.0	60.0	epochs	0.04	2.0	0.0
16103.0	60.0	epochs	0.04	2.0	90.0
16193.0	60.0	epochs	0.04	1.0	45.0
16284.0	60.0	epochs	0.04	2.0	315.0
16374.0	60.0	epochs			
16465.0	60.0	epochs			
16555.0	60.0	epochs	0.04	1.0	0.0
16646.0	60.0	epochs	0.04	1.0	90.0
16736.0	60.0	epochs	0.04	1.0	225.0
16827.0	60.0	epochs	0.04	1.0	90.0
16917.0	60.0	epochs	0.04	1.0	45.0
17008.0	60.0	epochs	0.04	2.0	45.0
17099.0	59.0	epochs	0.04	1.0	315.0
17189.0	60.0	epochs	0.04	2.0	45.0
17280.0	59.0	epochs	0.04	2.0	90.0
17370.0	60.0	epochs	0.04	2.0	135.0
17461.0	59.0	epochs	0.04	1.0	0.0
17551.0	60.0	epochs	0.04	1.0	90.0
17642.0	59.0	epochs	0.04	2.0	180.0
17732.0	60.0	epochs			
17823.0	59.0	epochs	0.04	2.0	135.0
17913.0	60.0	epochs	0.04	1.0	225.0
18004.0	60.0	epochs	0.04	1.0	135.0
18094.0	60.0	epochs	0.04	1.0	225.0
18185.0	60.0	epochs	0.04	2.0	135.0
18275.0	60.0	epochs	0.04	2.0	315.0
18366.0	60.0	epochs	0.04	2.0	225.0
18456.0	60.0	epochs	0.04	1.0	90.0
18547.0	60.0	epochs	0.04	1.0	270.0
18637.0	60.0	epochs	0.04	2.0	135.0
18728.0	60.0	epochs	0.04	2.0	315.0
18818.0	60.0	epochs			
18909.0	60.0	epochs	0.04	1.0	225.0
