onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	59.0	epochs			
535.0	60.0	epochs	0.04	2.0	90.0
625.0	60.0	epochs	0.04	1.0	90.0
716.0	59.0	epochs	0.04	1.0	270.0
806.0	60.0	epochs	0.04	1.0	225.0
896.0	60.0	epochs	0.04	2.0	0.0
986.0	60.0	epochs	0.04	1.0	180.0
1077.0	59.0	epochs	0.04	2.0	180.0
1167.0	60.0	epochs	0.04	1.0	0.0
1257.0	60.0	epochs	0.04	2.0	225.0
1348.0	59.0	epochs	0.04	2.0	0.0
1438.0	60.0	epochs	0.04	1.0	180.0
1528.0	60.0	epochs	0.04	1.0	225.0
1619.0	59.0	epochs	0.04	2.0	90.0
1709.0	60.0	epochs	0.04	2.0	0.0
1799.0	60.0	epochs	0.04	2.0	225.0
1889.0	60.0	epochs	0.04	2.0	315.0
1980.0	59.0	epochs	0.04	2.0	270.0
2070.0	60.0	epochs	0.04	2.0	45.0
2160.0	60.0	epochs	0.04	2.0	180.0
2251.0	59.0	epochs	0.04	2.0	45.0
2341.0	60.0	epochs	0.04	1.0	45.0
2431.0	60.0	epochs	0.04	1.0	0.0
2521.0	60.0	epochs	0.04	2.0	180.0
2612.0	59.0	epochs	0.04	1.0	0.0
2702.0	60.0	epochs	0.04	1.0	180.0
2792.0	60.0	epochs			
2883.0	59.0	epochs	0.04	1.0	270.0
2973.0	60.0	epochs	0.04	2.0	135.0
3063.0	60.0	epochs	0.04	1.0	225.0
3154.0	59.0	epochs	0.04	2.0	0.0
3244.0	60.0	epochs	0.04	1.0	45.0
3334.0	60.0	epochs	0.04	2.0	180.0
3424.0	60.0	epochs	0.04	1.0	0.0
3515.0	59.0	epochs	0.04	1.0	135.0
3605.0	60.0	epochs	0.04	1.0	135.0
3695.0	60.0	epochs	0.04	2.0	315.0
3786.0	59.0	epochs	0.04	2.0	315.0
3876.0	60.0	epochs	0.04	2.0	180.0
3966.0	60.0	epochs	0.04	1.0	0.0
4056.0	60.0	epochs	0.04	2.0	45.0
4147.0	59.0	epochs	0.04	2.0	270.0
4237.0	60.0	epochs	0.04	1.0	45.0
4327.0	60.0	epochs			
4418.0	59.0	epochs	0.04	1.0	90.0
4508.0	60.0	epochs	0.04	2.0	0.0
4598.0	60.0	epochs	0.04	1.0	90.0
4689.0	59.0	epochs	0.04	2.0	45.0
4779.0	60.0	epochs	0.04	1.0	225.0
4869.0	60.0	epochs	0.04	1.0	270.0
4959.0	60.0	epochs			
5050.0	59.0	epochs	0.04	1.0	0.0
5140.0	60.0	epochs	0.04	1.0	135.0
5230.0	60.0	epochs	0.04	2.0	45.0
5321.0	59.0	epochs	0.04	2.0	90.0
5411.0	60.0	epochs	0.04	2.0	315.0
5501.0	60.0	epochs	0.04	1.0	45.0
5591.0	60.0	epochs	0.04	2.0	315.0
5682.0	59.0	epochs			
5772.0	60.0	epochs	0.04	1.0	45.0
5862.0	60.0	epochs	0.04	1.0	135.0
5953.0	59.0	epochs	0.04	2.0	315.0
6043.0	60.0	epochs	0.04	1.0	90.0
6133.0	60.0	epochs	0.04	2.0	135.0
6224.0	59.0	epochs	0.04	2.0	90.0
6314.0	60.0	epochs	0.04	2.0	225.0
6404.0	60.0	epochs	0.04	1.0	270.0
6494.0	60.0	epochs	0.04	2.0	135.0
6585.0	59.0	epochs	0.04	1.0	270.0
6675.0	60.0	epochs	0.04	2.0	225.0
6765.0	60.0	epochs	0.04	1.0	135.0
6856.0	59.0	epochs	0.04	1.0	135.0
6946.0	60.0	epochs	0.04	1.0	315.0
7036.0	60.0	epochs	0.04	2.0	270.0
7126.0	60.0	epochs	0.04	2.0	135.0
7217.0	59.0	epochs	0.04	2.0	270.0
7307.0	60.0	epochs	0.04	1.0	180.0
7397.0	60.0	epochs	0.04	1.0	90.0
7488.0	59.0	epochs	0.04	2.0	315.0
7578.0	60.0	epochs	0.04	2.0	180.0
7668.0	60.0	epochs	0.04	1.0	225.0
7759.0	59.0	epochs	0.04	1.0	180.0
7849.0	60.0	epochs	0.04	2.0	135.0
7939.0	60.0	epochs	0.04	1.0	0.0
8029.0	60.0	epochs	0.04	1.0	225.0
8120.0	59.0	epochs	0.04	1.0	135.0
8210.0	60.0	epochs	0.04	1.0	0.0
8300.0	60.0	epochs	0.04	2.0	45.0
8391.0	59.0	epochs	0.04	1.0	225.0
8481.0	60.0	epochs	0.04	2.0	225.0
8571.0	60.0	epochs	0.04	1.0	180.0
8661.0	60.0	epochs	0.04	2.0	45.0
8752.0	59.0	epochs	0.04	1.0	180.0
8842.0	60.0	epochs	0.04	1.0	270.0
8932.0	60.0	epochs	0.04	1.0	90.0
9023.0	59.0	epochs	0.04	2.0	0.0
9113.0	60.0	epochs	0.04	2.0	135.0
9203.0	60.0	epochs	0.04	2.0	135.0
9294.0	59.0	epochs	0.04	1.0	45.0
9384.0	60.0	epochs			
9474.0	60.0	epochs	0.04	2.0	135.0
