onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	2.0	180.0
535.0	60.0	epochs	0.04	1.0	0.0
626.0	59.0	epochs	0.04	2.0	45.0
716.0	60.0	epochs	0.04	1.0	270.0
806.0	60.0	epochs	0.04	2.0	0.0
897.0	59.0	epochs	0.04	2.0	45.0
987.0	60.0	epochs	0.04	1.0	225.0
1077.0	60.0	epochs	0.04	2.0	135.0
1168.0	59.0	epochs	0.04	2.0	180.0
1258.0	60.0	epochs	0.04	1.0	0.0
1348.0	60.0	epochs	0.04	2.0	270.0
1439.0	59.0	epochs	0.04	1.0	270.0
1529.0	60.0	epochs	0.04	2.0	270.0
1619.0	60.0	epochs			
1709.0	60.0	epochs	0.04	1.0	315.0
1800.0	59.0	epochs	0.04	1.0	0.0
1890.0	60.0	epochs	0.04	2.0	315.0
1980.0	60.0	epochs	0.04	1.0	270.0
2071.0	59.0	epochs	0.04	2.0	315.0
2161.0	60.0	epochs	0.04	1.0	180.0
2251.0	60.0	epochs			
2342.0	59.0	epochs	0.04	2.0	90.0
2432.0	60.0	epochs	0.04	1.0	135.0
2522.0	60.0	epochs	0.04	1.0	90.0
2613.0	59.0	epochs	0.04	2.0	315.0
2703.0	60.0	epochs	0.04	2.0	135.0
2793.0	60.0	epochs	0.04	1.0	45.0
2884.0	59.0	epochs	0.04	2.0	90.0
2974.0	60.0	epochs	0.04	2.0	45.0
3064.0	60.0	epochs	0.04	1.0	0.0
3154.0	60.0	epochs	0.04	1.0	45.0
3245.0	60.0	epochs	0.04	2.0	90.0
3335.0	60.0	epochs	0.04	1.0	225.0
3425.0	60.0	epochs	0.04	1.0	90.0
3516.0	59.0	epochs	0.04	2.0	135.0
3606.0	60.0	epochs	0.04	1.0	90.0
3696.0	60.0	epochs	0.04	2.0	0.0
3787.0	59.0	epochs	0.04	1.0	225.0
3877.0	60.0	epochs	0.04	2.0	180.0
3967.0	60.0	epochs			
4058.0	59.0	epochs	0.04	2.0	135.0
4148.0	60.0	epochs	0.04	1.0	180.0
4238.0	60.0	epochs	0.04	2.0	45.0
4329.0	59.0	epochs	0.04	1.0	45.0
4419.0	60.0	epochs	0.04	1.0	135.0
4509.0	60.0	epochs	0.04	1.0	45.0
4600.0	59.0	epochs	0.04	1.0	90.0
4690.0	60.0	epochs	0.04	2.0	270.0
4780.0	60.0	epochs	0.04	2.0	90.0
4870.0	60.0	epochs	0.04	1.0	135.0
4961.0	59.0	epochs	0.04	2.0	135.0
5051.0	60.0	epochs	0.04	2.0	135.0
5141.0	60.0	epochs			
5232.0	59.0	epochs	0.04	1.0	0.0
5322.0	60.0	epochs	0.04	2.0	270.0
5412.0	60.0	epochs	0.04	2.0	0.0
5503.0	59.0	epochs	0.04	2.0	90.0
5593.0	60.0	epochs	0.04	1.0	90.0
5683.0	60.0	epochs	0.04	2.0	135.0
5774.0	59.0	epochs	0.04	2.0	45.0
5864.0	60.0	epochs	0.04	2.0	180.0
5954.0	60.0	epochs	0.04	1.0	0.0
6045.0	59.0	epochs	0.04	1.0	45.0
6135.0	60.0	epochs	0.04	2.0	270.0
6225.0	60.0	epochs	0.04	2.0	0.0
6315.0	60.0	epochs	0.04	2.0	135.0
6406.0	59.0	epochs	0.04	2.0	270.0
6496.0	60.0	epochs	0.04	1.0	225.0
6586.0	60.0	epochs	0.04	1.0	315.0
6677.0	59.0	epochs	0.04	1.0	0.0
6767.0	60.0	epochs	0.04	1.0	45.0
6857.0	60.0	epochs	0.04	1.0	315.0
6948.0	59.0	epochs	0.04	2.0	225.0
7038.0	60.0	epochs	0.04	1.0	135.0
7128.0	60.0	epochs	0.04	1.0	180.0
7219.0	59.0	epochs	0.04	1.0	180.0
7309.0	60.0	epochs	0.04	1.0	225.0
7399.0	60.0	epochs			
7490.0	59.0	epochs	0.04	2.0	225.0
7580.0	60.0	epochs	0.04	1.0	0.0
7670.0	60.0	epochs	0.04	2.0	45.0
7760.0	60.0	epochs	0.04	2.0	225.0
7851.0	59.0	epochs	0.04	2.0	45.0
7941.0	60.0	epochs	0.04	2.0	270.0
8031.0	60.0	epochs	0.04	1.0	225.0
8122.0	59.0	epochs	0.04	1.0	90.0
8212.0	60.0	epochs	0.04	2.0	0.0
8302.0	60.0	epochs	0.04	2.0	225.0
8393.0	59.0	epochs			
8483.0	60.0	epochs	0.04	2.0	225.0
8573.0	60.0	epochs	0.04	1.0	45.0
8664.0	59.0	epochs	0.04	2.0	90.0
8754.0	60.0	epochs	0.04	1.0	90.0
8844.0	60.0	epochs	0.04	1.0	225.0
8935.0	59.0	epochs	0.04	1.0	90.0
9025.0	60.0	epochs	0.04	1.0	270.0
9115.0	60.0	epochs	0.04	2.0	225.0
9205.0	60.0	epochs	0.04	2.0	270.0
9296.0	59.0	epochs	0.04	1.0	90.0
9386.0	60.0	epochs	0.04	2.0	90.0
9476.0	60.0	epochs	0.04	1.0	180.0
9567.0	59.0	epochs	0.04	2.0	0.0
9657.0	60.0	epochs			
9747.0	60.0	epochs	0.04	1.0	180.0
9838.0	59.0	epochs	0.04	1.0	45.0
9928.0	60.0	epochs			
10018.0	60.0	epochs			
10109.0	59.0	epochs	0.04	2.0	315.0
10199.0	60.0	epochs	0.04	2.0	90.0
10289.0	60.0	epochs	0.04	1.0	270.0
10380.0	59.0	epochs	0.04	2.0	315.0
10470.0	60.0	epochs	0.04	1.0	45.0
10560.0	60.0	epochs	0.04	1.0	180.0
10650.0	60.0	epochs	0.04	1.0	225.0
10741.0	59.0	epochs	0.04	2.0	225.0
10831.0	60.0	epochs	0.04	1.0	225.0
10921.0	60.0	epochs	0.04	2.0	180.0
11012.0	59.0	epochs	0.04	1.0	45.0
11102.0	60.0	epochs			
11192.0	60.0	epochs	0.04	1.0	180.0
11283.0	59.0	epochs	0.04	1.0	45.0
11373.0	60.0	epochs	0.04	2.0	135.0
11463.0	60.0	epochs	0.04	1.0	90.0
11554.0	59.0	epochs	0.04	1.0	0.0
11644.0	60.0	epochs	0.04	2.0	315.0
11734.0	60.0	epochs	0.04	1.0	90.0
11825.0	59.0	epochs			
11915.0	60.0	epochs	0.04	2.0	225.0
12005.0	60.0	epochs	0.04	2.0	315.0
12095.0	60.0	epochs	0.04	1.0	45.0
12186.0	59.0	epochs	0.04	2.0	45.0
12276.0	60.0	epochs	0.04	1.0	135.0
12366.0	60.0	epochs	0.04	1.0	90.0
12457.0	59.0	epochs	0.04	2.0	315.0
12547.0	60.0	epochs	0.04	1.0	45.0
12637.0	60.0	epochs	0.04	1.0	135.0
12728.0	59.0	epochs	0.04	2.0	180.0
12818.0	60.0	epochs	0.04	2.0	90.0
12908.0	60.0	epochs	0.04	2.0	90.0
12999.0	59.0	epochs	0.04	1.0	225.0
13089.0	60.0	epochs	0.04	1.0	315.0
13179.0	60.0	epochs	0.04	1.0	0.0
13270.0	59.0	epochs	0.04	2.0	270.0
13360.0	60.0	epochs	0.04	1.0	315.0
13450.0	60.0	epochs	0.04	2.0	270.0
13540.0	60.0	epochs	0.04	2.0	90.0
13631.0	59.0	epochs	0.04	1.0	45.0
13721.0	60.0	epochs	0.04	1.0	225.0
13811.0	60.0	epochs	0.04	2.0	90.0
13902.0	59.0	epochs	0.04	2.0	135.0
13992.0	60.0	epochs	0.04	1.0	45.0
14082.0	60.0	epochs	0.04	1.0	315.0
14173.0	59.0	epochs	0.04	2.0	270.0
14263.0	60.0	epochs	0.04	2.0	45.0
14353.0	60.0	epochs	0.04	1.0	90.0
14444.0	59.0	epochs	0.04	1.0	180.0
14534.0	60.0	epochs	0.04	1.0	270.0
14624.0	60.0	epochs	0.04	1.0	0.0
14715.0	59.0	epochs	0.04	1.0	270.0
14805.0	60.0	epochs			
14895.0	60.0	epochs	0.04	2.0	270.0
14985.0	60.0	epochs	0.04	1.0	180.0
15076.0	59.0	epochs	0.04	2.0	225.0
15166.0	60.0	epochs			
15256.0	60.0	epochs	0.04	2.0	0.0
15347.0	59.0	epochs	0.04	2.0	0.0
15437.0	60.0	epochs	0.04	2.0	0.0
15527.0	60.0	epochs	0.04	1.0	315.0
15618.0	59.0	epochs	0.04	1.0	270.0
15708.0	60.0	epochs	0.04	1.0	180.0
15798.0	60.0	epochs	0.04	2.0	45.0
15889.0	59.0	epochs	0.04	1.0	135.0
15979.0	60.0	epochs	0.04	2.0	45.0
16069.0	60.0	epochs	0.04	1.0	135.0
16160.0	59.0	epochs	0.04	2.0	135.0
16250.0	60.0	epochs	0.04	1.0	135.0
16340.0	60.0	epochs	0.04	2.0	225.0
16430.0	60.0	epochs	0.04	2.0	225.0
16521.0	59.0	epochs	0.04	2.0	315.0
16611.0	60.0	epochs	0.04	2.0	270.0
16701.0	60.0	epochs	0.04	2.0	225.0
16792.0	59.0	epochs			
16882.0	60.0	epochs	0.04	1.0	270.0
16972.0	60.0	epochs	0.04	2.0	90.0
17063.0	59.0	epochs	0.04	2.0	0.0
17153.0	60.0	epochs	0.04	1.0	90.0
17243.0	60.0	epochs	0.04	1.0	0.0
17334.0	59.0	epochs	0.04	2.0	0.0
17424.0	60.0	epochs	0.04	2.0	135.0
17514.0	60.0	epochs	0.04	2.0	315.0
17605.0	59.0	epochs	0.04	1.0	270.0
17695.0	60.0	epochs	0.04	2.0	315.0
17785.0	60.0	epochs	0.04	2.0	315.0
17875.0	60.0	epochs	0.04	1.0	180.0
17966.0	59.0	epochs	0.04	1.0	315.0
18056.0	60.0	epochs	0.04	1.0	45.0
18146.0	60.0	epochs	0.04	2.0	0.0
18237.0	59.0	epochs	0.04	2.0	0.0
18327.0	60.0	epochs	0.04	1.0	90.0
18417.0	60.0	epochs	0.04	1.0	180.0
18508.0	59.0	epochs	0.04	1.0	0.0
18598.0	60.0	epochs	0.04	1.0	90.0
18688.0	60.0	epochs	0.04	1.0	315.0
18779.0	59.0	epochs	0.04	2.0	135.0
18869.0	60.0	epochs	0.04	1.0	0.0
18959.0	60.0	epochs			
19050.0	59.0	epochs	0.04	2.0	180.0
19140.0	60.0	epochs	0.04	1.0	90.0
19230.0	60.0	epochs	0.04	2.0	0.0
19320.0	60.0	epochs	0.04	2.0	0.0
19411.0	59.0	epochs	0.04	1.0	135.0
19501.0	60.0	epochs	0.04	1.0	180.0
19591.0	60.0	epochs	0.04	1.0	270.0
19682.0	59.0	epochs	0.04	2.0	180.0
19772.0	60.0	epochs	0.04	1.0	225.0
19862.0	60.0	epochs			
19953.0	59.0	epochs	0.04	1.0	225.0
20043.0	60.0	epochs	0.04	1.0	45.0
20133.0	60.0	epochs	0.04	1.0	180.0
20224.0	59.0	epochs	0.04	1.0	0.0
20314.0	60.0	epochs	0.04	2.0	225.0
20404.0	60.0	epochs	0.04	2.0	135.0
20495.0	59.0	epochs	0.04	1.0	45.0
20585.0	60.0	epochs	0.04	1.0	315.0
20675.0	60.0	epochs	0.04	2.0	315.0
20765.0	60.0	epochs	0.04	1.0	270.0
20856.0	59.0	epochs	0.04	2.0	135.0
20946.0	60.0	epochs	0.04	1.0	90.0
21036.0	60.0	epochs	0.04	1.0	90.0
21127.0	59.0	epochs	0.04	2.0	135.0
21217.0	60.0	epochs	0.04	1.0	270.0
21307.0	60.0	epochs	0.04	1.0	90.0
21398.0	59.0	epochs	0.04	2.0	0.0
21488.0	60.0	epochs	0.04	2.0	0.0
21578.0	60.0	epochs	0.04	2.0	180.0
21669.0	59.0	epochs	0.04	2.0	270.0
21759.0	60.0	epochs	0.04	1.0	315.0
21849.0	60.0	epochs	0.04	2.0	0.0
21940.0	59.0	epochs	0.04	1.0	270.0
