onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	270.0
536.0	59.0	epochs	0.04	2.0	90.0
626.0	60.0	epochs	0.04	2.0	0.0
716.0	60.0	epochs	0.04	1.0	180.0
806.0	60.0	epochs	0.04	1.0	180.0
897.0	59.0	epochs	0.04	2.0	90.0
987.0	60.0	epochs	0.04	2.0	270.0
1077.0	60.0	epochs	0.04	1.0	180.0
1168.0	59.0	epochs	0.04	1.0	135.0
1258.0	60.0	epochs	0.04	1.0	315.0
1348.0	60.0	epochs	0.04	2.0	45.0
1439.0	59.0	epochs	0.04	1.0	270.0
1529.0	60.0	epochs	0.04	1.0	45.0
1619.0	60.0	epochs	0.04	2.0	225.0
1709.0	60.0	epochs	0.04	2.0	315.0
1800.0	59.0	epochs	0.04	2.0	45.0
1890.0	60.0	epochs	0.04	1.0	0.0
1980.0	60.0	epochs	0.04	2.0	270.0
2071.0	59.0	epochs	0.04	2.0	270.0
2161.0	60.0	epochs	0.04	1.0	315.0
2251.0	60.0	epochs	0.04	1.0	0.0
2342.0	59.0	epochs	0.04	1.0	135.0
2432.0	60.0	epochs	0.04	2.0	0.0
2522.0	60.0	epochs	0.04	2.0	0.0
2613.0	59.0	epochs	0.04	1.0	270.0
2703.0	60.0	epochs	0.04	2.0	90.0
2793.0	60.0	epochs	0.04	2.0	135.0
2883.0	60.0	epochs	0.04	1.0	315.0
2974.0	59.0	epochs	0.04	2.0	45.0
3064.0	60.0	epochs	0.04	2.0	135.0
3154.0	60.0	epochs			
3245.0	59.0	epochs	0.04	2.0	225.0
3335.0	60.0	epochs	0.04	1.0	0.0
3425.0	60.0	epochs	0.04	2.0	135.0
3516.0	59.0	epochs	0.04	1.0	180.0
3606.0	60.0	epochs	0.04	1.0	225.0
3696.0	60.0	epochs	0.04	1.0	0.0
3786.0	60.0	epochs	0.04	1.0	315.0
3877.0	59.0	epochs	0.04	1.0	45.0
3967.0	60.0	epochs	0.04	1.0	90.0
4057.0	60.0	epochs			
4148.0	59.0	epochs	0.04	1.0	90.0
4238.0	60.0	epochs	0.04	1.0	270.0
4328.0	60.0	epochs	0.04	2.0	0.0
4419.0	59.0	epochs	0.04	2.0	180.0
4509.0	60.0	epochs	0.04	2.0	315.0
4599.0	60.0	epochs	0.04	2.0	180.0
4689.0	60.0	epochs	0.04	1.0	225.0
4780.0	59.0	epochs	0.04	2.0	45.0
4870.0	60.0	epochs			
4960.0	60.0	epochs	0.04	2.0	45.0
5051.0	59.0	epochs	0.04	2.0	0.0
5141.0	60.0	epochs			
5231.0	60.0	epochs	0.04	1.0	135.0
5322.0	59.0	epochs	0.04	2.0	270.0
5412.0	60.0	epochs	0.04	2.0	180.0
5502.0	60.0	epochs	0.04	2.0	0.0
5593.0	59.0	epochs	0.04	1.0	45.0
5683.0	60.0	epochs	0.04	1.0	315.0
5773.0	60.0	epochs	0.04	2.0	45.0
5863.0	60.0	epochs	0.04	1.0	225.0
5954.0	59.0	epochs			
6044.0	60.0	epochs	0.04	2.0	225.0
6134.0	60.0	epochs	0.04	2.0	0.0
6225.0	59.0	epochs	0.04	1.0	135.0
6315.0	60.0	epochs	0.04	1.0	270.0
6405.0	60.0	epochs	0.04	2.0	135.0
6496.0	59.0	epochs	0.04	2.0	135.0
6586.0	60.0	epochs	0.04	2.0	225.0
6676.0	60.0	epochs	0.04	1.0	225.0
6766.0	60.0	epochs	0.04	2.0	90.0
6857.0	59.0	epochs	0.04	1.0	315.0
6947.0	60.0	epochs	0.04	2.0	90.0
7037.0	60.0	epochs	0.04	1.0	0.0
7128.0	59.0	epochs	0.04	2.0	225.0
7218.0	60.0	epochs	0.04	2.0	315.0
7308.0	60.0	epochs	0.04	1.0	315.0
7399.0	59.0	epochs	0.04	2.0	0.0
7489.0	60.0	epochs	0.04	2.0	90.0
7579.0	60.0	epochs	0.04	1.0	135.0
7669.0	60.0	epochs	0.04	1.0	315.0
7760.0	59.0	epochs	0.04	2.0	180.0
7850.0	60.0	epochs	0.04	2.0	270.0
7940.0	60.0	epochs	0.04	2.0	135.0
8031.0	59.0	epochs	0.04	2.0	270.0
8121.0	60.0	epochs	0.04	1.0	315.0
8211.0	60.0	epochs	0.04	2.0	180.0
8302.0	59.0	epochs	0.04	1.0	90.0
8392.0	60.0	epochs	0.04	1.0	135.0
8482.0	60.0	epochs	0.04	1.0	45.0
8572.0	60.0	epochs	0.04	2.0	135.0
8663.0	59.0	epochs	0.04	2.0	135.0
8753.0	60.0	epochs			
8843.0	60.0	epochs			
8934.0	59.0	epochs	0.04	1.0	180.0
9024.0	60.0	epochs	0.04	2.0	90.0
9114.0	60.0	epochs	0.04	1.0	90.0
9205.0	59.0	epochs	0.04	2.0	0.0
9295.0	60.0	epochs			
9385.0	60.0	epochs	0.04	2.0	180.0
9475.0	60.0	epochs	0.04	1.0	270.0
9566.0	60.0	epochs	0.04	2.0	45.0
9656.0	60.0	epochs	0.04	1.0	315.0
9746.0	60.0	epochs	0.04	2.0	45.0
9837.0	59.0	epochs	0.04	1.0	315.0
9927.0	60.0	epochs	0.04	1.0	135.0
10017.0	60.0	epochs	0.04	1.0	225.0
10108.0	59.0	epochs	0.04	1.0	0.0
10198.0	60.0	epochs	0.04	2.0	180.0
10288.0	60.0	epochs	0.04	1.0	270.0
10379.0	59.0	epochs	0.04	2.0	90.0
10469.0	60.0	epochs	0.04	1.0	135.0
10559.0	60.0	epochs	0.04	2.0	90.0
10649.0	60.0	epochs	0.04	2.0	180.0
10740.0	59.0	epochs	0.04	2.0	270.0
10830.0	60.0	epochs	0.04	2.0	135.0
10920.0	60.0	epochs	0.04	1.0	225.0
11011.0	59.0	epochs	0.04	1.0	315.0
11101.0	60.0	epochs	0.04	2.0	90.0
11191.0	60.0	epochs	0.04	2.0	90.0
11282.0	59.0	epochs	0.04	2.0	0.0
11372.0	60.0	epochs	0.04	1.0	45.0
11462.0	60.0	epochs	0.04	2.0	270.0
11552.0	60.0	epochs	0.04	1.0	180.0
11643.0	59.0	epochs	0.04	1.0	315.0
11733.0	60.0	epochs			
11823.0	60.0	epochs	0.04	2.0	270.0
11914.0	59.0	epochs	0.04	2.0	180.0
12004.0	60.0	epochs	0.04	2.0	270.0
12094.0	60.0	epochs	0.04	1.0	135.0
12185.0	59.0	epochs	0.04	2.0	315.0
12275.0	60.0	epochs	0.04	1.0	45.0
12365.0	60.0	epochs	0.04	1.0	0.0
12455.0	60.0	epochs	0.04	1.0	315.0
12546.0	59.0	epochs	0.04	2.0	180.0
12636.0	60.0	epochs	0.04	2.0	45.0
12726.0	60.0	epochs	0.04	1.0	45.0
12817.0	59.0	epochs	0.04	2.0	180.0
12907.0	60.0	epochs	0.04	1.0	45.0
12997.0	60.0	epochs	0.04	2.0	225.0
13088.0	59.0	epochs	0.04	2.0	270.0
13178.0	60.0	epochs	0.04	1.0	315.0
13268.0	60.0	epochs	0.04	1.0	45.0
13358.0	60.0	epochs	0.04	1.0	0.0
13449.0	59.0	epochs	0.04	2.0	270.0
13539.0	60.0	epochs	0.04	2.0	315.0
13629.0	60.0	epochs	0.04	1.0	0.0
13720.0	59.0	epochs	0.04	2.0	315.0
13810.0	60.0	epochs	0.04	1.0	315.0
13900.0	60.0	epochs	0.04	2.0	180.0
13991.0	59.0	epochs	0.04	1.0	225.0
14081.0	60.0	epochs	0.04	1.0	180.0
14171.0	60.0	epochs	0.04	2.0	225.0
14262.0	59.0	epochs	0.04	2.0	90.0
14352.0	60.0	epochs	0.04	2.0	225.0
14442.0	60.0	epochs	0.04	2.0	135.0
14532.0	60.0	epochs	0.04	2.0	135.0
14623.0	59.0	epochs	0.04	1.0	135.0
14713.0	60.0	epochs	0.04	1.0	225.0
14803.0	60.0	epochs	0.04	1.0	315.0
14894.0	59.0	epochs	0.04	2.0	270.0
14984.0	60.0	epochs	0.04	1.0	315.0
15074.0	60.0	epochs	0.04	2.0	0.0
15165.0	59.0	epochs			
15255.0	60.0	epochs	0.04	1.0	270.0
15345.0	60.0	epochs	0.04	1.0	225.0
15435.0	60.0	epochs	0.04	1.0	270.0
15526.0	59.0	epochs	0.04	2.0	135.0
15616.0	60.0	epochs	0.04	2.0	135.0
15706.0	60.0	epochs	0.04	2.0	45.0
15797.0	59.0	epochs	0.04	2.0	45.0
15887.0	60.0	epochs	0.04	1.0	135.0
15977.0	60.0	epochs	0.04	2.0	270.0
16068.0	59.0	epochs	0.04	2.0	0.0
16158.0	60.0	epochs	0.04	1.0	0.0
16248.0	60.0	epochs	0.04	2.0	225.0
