onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
435.0	60.0	epochs	0.04	2.0	90.0
526.0	60.0	epochs	0.04	1.0	45.0
617.0	59.0	epochs	0.04	1.0	225.0
707.0	60.0	epochs	0.04	2.0	0.0
798.0	59.0	epochs	0.04	1.0	315.0
888.0	60.0	epochs	0.04	2.0	135.0
979.0	59.0	epochs	0.04	1.0	135.0
1069.0	60.0	epochs	0.04	1.0	45.0
1160.0	60.0	epochs			
1250.0	60.0	epochs	0.04	2.0	225.0
1341.0	60.0	epochs			
1431.0	60.0	epochs	0.04	1.0	270.0
1522.0	60.0	epochs	0.04	2.0	225.0
1612.0	60.0	epochs	0.04	2.0	180.0
1703.0	60.0	epochs	0.04	1.0	180.0
1793.0	60.0	epochs	0.04	1.0	135.0
1884.0	60.0	epochs	0.04	1.0	135.0
1974.0	60.0	epochs	0.04	1.0	90.0
2065.0	60.0	epochs	0.04	2.0	315.0
2156.0	59.0	epochs	0.04	1.0	135.0
2246.0	60.0	epochs	0.04	1.0	315.0
2337.0	59.0	epochs	0.04	1.0	0.0
2427.0	60.0	epochs	0.04	2.0	45.0
2518.0	59.0	epochs	0.04	1.0	315.0
2608.0	60.0	epochs	0.04	1.0	45.0
2699.0	60.0	epochs	0.04	1.0	180.0
2789.0	60.0	epochs	0.04	2.0	90.0
2880.0	60.0	epochs	0.04	1.0	0.0
2970.0	60.0	epochs	0.04	2.0	315.0
3061.0	60.0	epochs	0.04	1.0	315.0
3151.0	60.0	epochs			
3242.0	60.0	epochs	0.04	2.0	180.0
3332.0	60.0	epochs	0.04	2.0	45.0
3423.0	60.0	epochs	0.04	2.0	90.0
3513.0	60.0	epochs	0.04	2.0	90.0
3604.0	60.0	epochs	0.04	1.0	180.0
3695.0	59.0	epochs	0.04	1.0	45.0
3785.0	60.0	epochs	0.04	1.0	90.0
3876.0	59.0	epochs	0.04	2.0	315.0
3966.0	60.0	epochs	0.04	1.0	270.0
4057.0	59.0	epochs	0.04	1.0	90.0
4147.0	60.0	epochs	0.04	1.0	225.0
4238.0	60.0	epochs	0.04	2.0	0.0
4328.0	60.0	epochs	0.04	1.0	135.0
4419.0	60.0	epochs	0.04	1.0	135.0
4509.0	60.0	epochs	0.04	2.0	270.0
4600.0	60.0	epochs	0.04	2.0	135.0
4690.0	60.0	epochs	0.04	2.0	90.0
4781.0	60.0	epochs	0.04	2.0	0.0
4871.0	60.0	epochs	0.04	1.0	315.0
4962.0	60.0	epochs	0.04	1.0	315.0
5052.0	62.0	epochs	0.04	2.0	315.0
5144.0	60.0	epochs	0.04	2.0	180.0
5235.0	60.0	epochs	0.04	2.0	45.0
5326.0	59.0	epochs	0.04	2.0	45.0
5416.0	60.0	epochs			
5507.0	59.0	epochs	0.04	2.0	270.0
5597.0	60.0	epochs	0.04	1.0	45.0
5688.0	59.0	epochs	0.04	2.0	135.0
5778.0	60.0	epochs	0.04	1.0	180.0
5869.0	60.0	epochs	0.04	2.0	135.0
5959.0	60.0	epochs			
6050.0	60.0	epochs	0.04	1.0	270.0
6140.0	60.0	epochs	0.04	2.0	135.0
6231.0	60.0	epochs	0.04	1.0	135.0
6321.0	60.0	epochs	0.04	1.0	180.0
6412.0	60.0	epochs	0.04	1.0	180.0
6502.0	60.0	epochs	0.04	1.0	135.0
6593.0	60.0	epochs	0.04	1.0	315.0
6683.0	60.0	epochs	0.04	2.0	45.0
6774.0	60.0	epochs	0.04	2.0	180.0
6864.0	60.0	epochs	0.04	2.0	225.0
6955.0	60.0	epochs	0.04	2.0	90.0
7046.0	59.0	epochs	0.04	2.0	180.0
7136.0	60.0	epochs			
7227.0	59.0	epochs	0.04	1.0	135.0
7317.0	60.0	epochs	0.04	2.0	90.0
7408.0	60.0	epochs	0.04	2.0	45.0
7498.0	60.0	epochs	0.04	1.0	180.0
7589.0	60.0	epochs	0.04	1.0	135.0
7679.0	60.0	epochs	0.04	1.0	0.0
7770.0	60.0	epochs	0.04	1.0	270.0
7860.0	60.0	epochs	0.04	2.0	315.0
7951.0	60.0	epochs	0.04	2.0	45.0
8041.0	60.0	epochs	0.04	1.0	315.0
8132.0	60.0	epochs	0.04	2.0	315.0
8222.0	60.0	epochs	0.04	2.0	0.0
8313.0	60.0	epochs	0.04	2.0	315.0
8403.0	60.0	epochs	0.04	1.0	225.0
8494.0	60.0	epochs	0.04	1.0	90.0
8585.0	59.0	epochs	0.04	2.0	135.0
8675.0	60.0	epochs	0.04	1.0	45.0
8766.0	59.0	epochs	0.04	2.0	315.0
8856.0	60.0	epochs	0.04	2.0	45.0
8947.0	59.0	epochs	0.04	1.0	45.0
9037.0	60.0	epochs	0.04	2.0	135.0
9128.0	60.0	epochs	0.04	1.0	45.0
9218.0	60.0	epochs			
9309.0	60.0	epochs	0.04	2.0	225.0
9399.0	60.0	epochs	0.04	2.0	270.0
9490.0	60.0	epochs	0.04	2.0	90.0
9580.0	60.0	epochs	0.04	2.0	180.0
9671.0	60.0	epochs	0.04	1.0	45.0
9761.0	60.0	epochs	0.04	1.0	225.0
9852.0	60.0	epochs	0.04	2.0	270.0
9942.0	60.0	epochs	0.04	1.0	135.0
10033.0	60.0	epochs	0.04	2.0	90.0
10123.0	60.0	epochs	0.04	2.0	90.0
10214.0	60.0	epochs	0.04	2.0	225.0
10305.0	59.0	epochs	0.04	2.0	315.0
10395.0	60.0	epochs	0.04	2.0	180.0
10486.0	59.0	epochs	0.04	1.0	0.0
10576.0	60.0	epochs	0.04	1.0	225.0
10667.0	59.0	epochs	0.04	1.0	180.0
10757.0	60.0	epochs	0.04	1.0	45.0
10848.0	60.0	epochs	0.04	1.0	90.0
10938.0	60.0	epochs	0.04	2.0	0.0
11029.0	60.0	epochs	0.04	2.0	0.0
11119.0	60.0	epochs	0.04	2.0	90.0
11210.0	60.0	epochs	0.04	2.0	90.0
11300.0	60.0	epochs	0.04	2.0	315.0
11391.0	60.0	epochs	0.04	1.0	315.0
